# units: SI
node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,0.0,0.0,-5.879105932869668e-07,-1.9100529544243774e-10,5.879106243146625e-07,-0.5879105932869668,-0.00019100529544243774,0.5879106243146625,-1.341725514289686e-08,1.0362709654462656e-06
2,2.564323571581682,-0.34987873349844656,-3.4645010242428434e-07,-1.876500079426956e-07,3.9400532858159523e-07,-0.3464501024242843,-0.18765000794269562,0.39400532858159526,-1.0587911840678754e-22,9.487891763508026e-10
3,4.303049189618384,-17.622696597412506,-1.531520863843448e-10,-4.200795031645952e-11,1.5880878267170222e-10,-0.1531520863843448,-0.04200795031645952,0.1588087826717022,4.1359030627651384e-25,5.094417470816263e-10
4,4.548038103458855,-15.220090319379008,-1.732757949486563e-10,4.6294974144854465e-11,1.7935363321148956e-10,-0.1732757949486563,0.04629497414485447,0.17935363321148956,1.0339757656912846e-25,5.09081998514268e-10
5,5.1,0.0,-4.4502154602416357e-07,-1.905981238369321e-07,4.841196352513449e-07,-0.4707200708958517,-0.18674687538150833,0.5064106837429008,1.0469904737389968e-07,4.8580380499484745e-08
6,5.1,50.015699999999995,-8.376592918916496e-11,-4.9103018988786806e-11,9.709705127725227e-11,-8.376592918916495e-05,-4.910301898878681e-05,9.709705127725226e-05,-3.557929527450352e-13,1.0362480290332238e-06
7,0.13684210526287935,0.0,-5.873950081421717e-07,-7.189628209882993e-10,5.87395448141948e-07,-0.5873950081421717,-0.0007189628209882992,0.587395448141948,-2.6762379157489058e-08,9.559213828301887e-07
8,0.2736842105258014,0.0,-5.859831750129787e-07,-2.3443875162091062e-09,5.859878646790541e-07,-0.5859831750129788,-0.0023443875162091066,0.5859878646790542,-2.655634922111204e-08,8.759960706253478e-07
9,0.41052631578863713,0.0,-5.833708636073494e-07,-5.017431945223687e-09,5.833924400686982e-07,-0.5833708636073495,-0.005017431945223687,0.5833924400686983,-2.621709840030957e-08,7.969019742403741e-07
10,0.5473684210513821,0.0,-5.801019597582455e-07,-9.242294968604587e-09,5.801755800890311e-07,-0.5801019597582456,-0.009242294968604587,0.5801755800890313,-2.575029778245245e-08,7.190272249843622e-07
11,0.6842105263141326,0.0,-5.765137026569692e-07,-1.4851188830568794e-08,5.76704956768129e-07,-0.5765137026569691,-0.01485118883056879,0.5767049567681289,-2.5160087880442196e-08,6.42726608223749e-07
12,0.8210526315769019,0.0,-5.72113015847272e-07,-2.1471667039754954e-08,5.725157948802173e-07,-0.5721130158472719,-0.021471667039754953,0.5725157948802172,-2.444467319075699e-08,5.683825458676916e-07
13,0.9578947368396554,0.0,-5.670418223974828e-07,-2.9285908185173762e-08,5.677975808033078e-07,-0.5670418223974828,-0.029285908185173765,0.5677975808033078,-2.3603463642743624e-08,4.963721531591701e-07
14,1.0947368421023935,0.0,-5.61274631890629e-07,-3.8240560117287465e-08,5.62575819638602e-07,-0.5612746318906289,-0.038240560117287464,0.5625758196386019,-2.2637851954003662e-08,4.270685807530104e-07
15,1.231578947365151,0.0,-5.545779626691998e-07,-4.8281611675115144e-08,5.566756961681254e-07,-0.5545779626691998,-0.04828161167511514,0.5566756961681253,-2.154322315087659e-08,3.60852706543388e-07
16,1.368421052628277,0.0,-5.463887006400771e-07,-5.939334406637508e-08,5.496072975375588e-07,-0.5463887006400773,-0.05939334406637509,0.5496072975375589,-2.031583888843698e-08,2.981177796203273e-07
17,1.5052631578918088,0.0,-5.379254872893296e-07,-7.247098820605487e-08,5.42785292732794e-07,-0.5379254872893297,-0.07247098820605487,0.5427852927327941,-1.8948922490156845e-08,2.3927976723626826e-07
18,1.6421052631553315,0.0,-5.294688442540987e-07,-8.726827126599066e-08,5.366125307943578e-07,-0.5294688442540988,-0.08726827126599067,0.5366125307943579,-1.742655295448734e-08,1.8476180670154356e-07
19,1.7789473684188504,0.0,-5.194805974866177e-07,-1.0315399726500575e-07,5.296232985026264e-07,-0.5194805974866177,-0.10315399726500574,0.5296232985026263,-1.571815688643482e-08,1.3508412046757805e-07
20,1.9157894736823822,0.0,-5.078658801069776e-07,-1.2101912233891374e-07,5.22085606149524e-07,-0.5078658801069776,-0.12101912233891372,0.522085606149524,-1.3768735654648115e-08,9.088518101893982e-08
21,2.052631578945914,0.0,-4.947212634983309e-07,-1.41177786644993e-07,5.144708893604809e-07,-0.4947212634983309,-0.141177786644993,0.5144708893604808,-1.1468104920347395e-08,5.302858162539195e-08
