# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
pile_index,element_id,line_id,x_start,y_start,x_end,y_end,axial_force,shear_force,moment_1,moment_2,v_cap,m_cap,yielded_shear,yielded_moment,yielded,plastic_rotation_1,plastic_rotation_2
0,0,1,38.0,10.0,38.0,9.068277594526164,29.809082221813576,21.235150831668637,0.0,19.785265814047307,inf,inf,False,False,False,0.0,0.0
1,1,1,38.0,9.068277594526164,38.0,8.29439283963531,58.81100435644908,70.95312060702142,-19.785265814018203,74.6948041645228,inf,inf,False,False,False,0.0,0.0
2,2,1,38.0,8.29439283963531,38.0,7.651607177413069,77.40488116072027,160.44763135440573,-74.69480416446459,177.8282411378459,inf,inf,False,False,False,0.0,0.0
3,3,1,38.0,7.651607177413069,38.0,7.117712092232158,92.53573150989689,249.68758261300448,-177.82824113790412,311.1352143267868,inf,inf,False,False,False,0.0,0.0
4,4,1,38.0,7.117712092232158,38.0,6.674261009568845,99.3753626512988,330.6792973458126,-311.135214326845,457.7753067504382,inf,inf,False,False,False,0.0,0.0
5,5,1,38.0,6.674261009568845,38.0,6.305932343353621,101.8577124796678,401.76225951787825,-457.77530675032176,605.7558639354538,inf,inf,False,False,False,0.0,0.0
6,6,1,38.0,6.305932343353621,38.0,6.0,101.30894785681963,463.61841793920735,-605.7558639352501,747.5917329587974,inf,inf,False,False,False,0.0,0.0
7,7,1,38.0,6.0,38.0,5.75,99.63528565934236,503.5609132995944,-747.591732958681,873.4819612849969,inf,inf,False,False,False,0.0,0.0
8,8,1,38.0,5.75,38.0,5.500000000000001,99.66914953552336,522.3408235746574,-873.4819612847641,1004.067167179659,inf,inf,False,False,False,0.0,0.0
9,9,1,38.0,5.500000000000001,38.0,5.250000000000001,99.15710994410146,540.9043137264646,-1004.067167179659,1139.293245612178,inf,inf,False,False,False,0.0,0.0
10,10,1,38.0,5.250000000000001,38.0,5.0,97.88749301625383,558.0087481959536,-1139.2932456120616,1278.795432661951,inf,inf,False,False,False,0.0,0.0
11,11,1,38.0,5.0,38.0,4.6940676566476744,79.16236204660893,-533.385209063267,-1278.795432661951,1115.615645744052,inf,inf,False,False,False,0.0,0.0
12,12,1,38.0,4.6940676566476744,38.0,4.325738990434273,60.043852821527196,-1058.5619266682738,-1115.6156457440738,725.7169431902439,inf,inf,False,False,False,0.0,0.0
13,13,1,38.0,4.325738990434273,38.0,3.8822879077734695,39.77469601195476,-848.2093723827032,-725.7169431902439,349.577578684155,inf,inf,False,False,False,0.0,0.0
14,14,1,38.0,3.8822879077734695,38.0,3.348392822595965,21.353609179067284,-457.7195260693475,-349.5775786841532,105.20337332597592,inf,inf,False,False,False,0.0,0.0
15,15,1,38.0,3.348392822595965,38.0,2.7056071603748864,3.003203214812848,-157.54494995273222,-105.20337332597865,3.935738341044271,inf,inf,False,False,False,0.0,0.0
16,16,1,38.0,2.7056071603748864,38.0,1.931722405479972,-13.736946924545103,-19.86392120966347,-3.9357383410454077,-11.436647455540879,inf,inf,False,False,False,0.0,0.0
17,17,1,38.0,1.931722405479972,38.0,1.0,-21.789459127143626,12.274736969152364,11.436647455540424,0.0,inf,inf,False,False,False,0.0,0.0
