# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp,theta
1,1.0,20.0,0.0,-0.13115390490077683,0.13115390490077683,0.0,-0.014979430165855748,0.014979430165855748,0.0
2,20.0,20.0,0.1475928454975479,-0.24790955644270382,0.28851827709467764,0.12497391146889994,-0.1372680988036062,0.18563676763236595,0.0
3,36.0,10.0,0.26251139324506656,0.21000346116960047,0.33617508129942925,0.2276769258214813,0.2136359322055793,0.31221321893998527,0.0
4,38.0,10.0,0.12120321626645042,-0.000495458485185306,0.12120422893794792,0.09024234190213745,0.0003695381070688671,0.09024309851947045,-0.025896660477301353
5,40.0,10.0,0.09710280638954263,-0.016318755729022794,0.09846449511000661,0.07169836253529495,-0.009687034819856144,0.07234980189222145,0.0
6,42.0,9.0,0.07655510987216024,-0.017260517162404967,0.07847681377484819,0.0582546034824805,-0.010628367399656193,0.059216222612415124,0.0
7,44.0,8.0,0.06110581160315442,-0.003192700361300717,0.06118916200829401,0.04897432002391089,-0.000252282233236104,0.04897496981244241,0.0
8,65.0,8.0,0.0,-0.000873781305317949,0.000873781305317949,0.0,0.0027298344430840785,0.0027298344430840785,0.0
9,65.0,6.0,0.0,-0.0028515408940368086,0.0028515408940368086,0.0,-5.5269531169872994e-05,5.5269531169872994e-05,0.0
10,38.0,6.0,0.02251451027592443,-0.0005640961901751742,0.02252157582134245,0.014849135744788806,0.0002683406466192428,0.014851560156084366,-0.01944203151136748
11,1.0,6.0,0.0,-0.025149614482375286,0.025149614482375286,0.0,-0.003133726842656028,0.003133726842656028,0.0
12,1.0,14.0,0.0,-0.10067709885628744,0.10067709885628744,0.0,-0.009507368516270834,0.009507368516270834,0.0
13,65.0,5.0,0.0,-0.0005029669517877021,0.0005029669517877021,0.0,-1.0653426781394304e-05,1.0653426781394304e-05,0.0
14,38.0,5.0,0.007240539751040541,-0.0005857490294160994,0.007264194230047825,0.003772378706670903,0.00022079455087695133,0.0037788346537313577,-0.010230648012391314
15,1.0,5.0,0.0,-0.0024233689834432495,0.0024233689834432495,0.0,1.0784985257137388e-05,1.0784985257137388e-05,0.0
16,65.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,38.0,1.0,0.001161395103559556,-0.0005892987191021568,0.0013023484813626323,-0.00014831678109503772,0.00014264274704960892,0.00020577857235448997,-0.0001351499928915597
19,2.4615384615385816,20.0,0.00925240840730868,-0.1325065783471303,0.13282921503419276,0.006096912635869161,-0.016218177117945112,0.017326327156049533,0.0
20,3.9230769230758824,20.0,0.04089567442603241,-0.14189076707048787,0.14766667182073104,0.03462972157496084,-0.02527010364233591,0.042869520109906835,0.0
21,5.384615384614183,20.0,0.10108577988368184,-0.16816270281187626,0.1962065990523448,0.09180082178594755,-0.051012649372946625,0.10502228942763767,0.0
22,6.846153846152766,20.0,0.17250924697111764,-0.22480550255531456,0.2833671721807055,0.16034219930715715,-0.10696732252546143,0.19274757836850298,0.0
23,8.307692307691347,20.0,0.17152061426484475,-0.2729543643763128,0.32237153433556537,0.15665705871411298,-0.15432407763799222,0.21990305815011782,0.0
24,9.76923076922993,20.0,0.16938117101136255,-0.2954647194611826,0.3405721385249471,0.15205954697446974,-0.17601316885722657,0.23259996009725264,0.0
25,11.23076923076851,20.0,0.16764524586735954,-0.30267913076865505,0.3460051801126625,0.14816143694862582,-0.1824774892728097,0.23505285680031632,0.0
26,12.692307692307091,20.0,0.16474178374857829,-0.30334868800395204,0.34519600493977676,0.14345562810244236,-0.18260227068522508,0.23221349334968988,0.0
27,14.153846153845675,20.0,0.1613984356972845,-0.29938008433394464,0.3401145247432551,0.1387445503831344,-0.17847559462458484,0.22606102746297793,0.0
28,15.615384615384256,20.0,0.1577194317406857,-0.2916572119882709,0.33157103078130334,0.13421090136120079,-0.1712311360960713,0.21756072258782663,0.0
29,17.07692307692284,20.0,0.15390896963884682,-0.2804778904051995,0.31993095808540095,0.13012726639982006,-0.16152260097316695,0.20741903501324715,0.0
30,18.53846153846142,20.0,0.1502533753862378,-0.265907547857533,0.3054224956066005,0.12683642023885072,-0.14992829388786424,0.19638220593305325,0.0
31,21.270912248523526,19.205679844672797,0.15554678811992412,-0.22905084325558628,0.2768737836822398,0.12973401732722664,-0.12597449600353366,0.1808327649935306,0.0
32,22.541824497047052,18.41135968934559,0.16376926807522588,-0.20668745236311906,0.26370452428855257,0.13419949904081702,-0.11302509761367986,0.1754542055163914,0.0
33,23.81273674557058,17.61703953401839,0.1703452476195121,-0.1662606842113418,0.23803385998839832,0.1366619520405904,-0.08287109164414466,0.15982523882615302,0.0
34,25.083648994094105,16.822719378691183,0.1883916735136599,-0.1146022466587331,0.22051099199021015,0.15058026210884617,-0.04178564009848612,0.15627045483778765,0.0
35,26.35456124261764,16.028399223363976,0.2073042892258558,-0.08227407552113078,0.22303383562655693,0.1656486212507644,-0.019950346557881048,0.1668456833425988,0.0
36,27.62547349114117,15.234079068036769,0.22315951042426097,-0.05381423485086574,0.22955639604545977,0.17821128183070217,-0.001624545598810638,0.17821868622606488,0.0
37,28.8963857396647,14.43975891270956,0.23721794324070375,-0.026974022618164444,0.2387466240422155,0.18977694194709466,0.01564618920869011,0.19042082588715203,0.0
38,30.167297988188235,13.645438757382353,0.24985935334396453,-0.0015941458963847175,0.24986443875550415,0.20095124576670825,0.03216262488271813,0.20350881458683412,0.0
39,31.438210236711754,12.851118602055152,0.26085580655500806,0.02216285637550435,0.2617956149674494,0.21172439805981944,0.047848891837976484,0.2170639011533591,0.0
40,32.70912248523528,12.056798446727953,0.2689832625032028,0.050955503915616276,0.2737671618112028,0.22107301721951156,0.06941041633156256,0.23171336784454044,0.0
41,33.923870430749524,11.297580980781547,0.26839681004527177,0.1400787511755914,0.30275221580261136,0.22321705871294342,0.1524226456475202,0.2702933928283249,0.0
42,35.0168541920016,10.614466129999,0.2770584652460792,0.1954500020428652,0.33906060883427447,0.23597508825477265,0.20302776641713377,0.3112949023244325,0.0
43,37.0,10.0,0.21073333619731588,0.23862887230604107,0.3183587248418108,0.1801932938222981,0.23868115500329928,0.29906239631929327,0.0
