# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
pile_index,element_id,line_id,x_start,y_start,x_end,y_end,axial_force,shear_force,moment_1,moment_2,v_cap,m_cap,yielded_shear,yielded_moment,yielded,plastic_rotation_1,plastic_rotation_2
0,0,1,38.0,10.0,38.0,9.068277594526164,28.738564685186702,4.9671548320911825,-2.9103830456733704e-11,4.628009448933881,inf,inf,False,False,False,0.0,0.0
1,1,1,38.0,9.068277594526164,38.0,8.29439283963531,58.39595015115492,42.77830262761563,-4.628009448919329,37.73348569317022,inf,inf,False,False,False,0.0,0.0
2,2,1,38.0,8.29439283963531,38.0,7.651607177413069,77.51216293223933,134.56745848502032,-37.73348569324298,124.23151860997314,inf,inf,False,False,False,0.0,0.0
3,3,1,38.0,7.651607177413069,38.0,7.117712092232158,89.70773595858736,225.45332957059145,-124.23151860995858,244.59994320652913,inf,inf,False,False,False,0.0,0.0
4,4,1,38.0,7.117712092232158,38.0,6.674261009568845,94.21534411977791,311.4686761875637,-244.59994320658734,382.72106487851124,inf,inf,False,False,False,0.0,0.0
5,5,1,38.0,6.674261009568845,38.0,6.305932343353621,94.8075729385173,387.70492063090205,-382.72106487854035,525.5239011803642,inf,inf,False,False,False,0.0,0.0
6,6,1,38.0,6.305932343353621,38.0,6.0,92.06038796163739,454.3930162470788,-525.5239011803933,664.5374214461772,inf,inf,False,False,False,0.0,0.0
7,7,1,38.0,6.0,38.0,5.75,87.66647897037365,498.0891560809687,-664.5374214461481,789.0597104673507,inf,inf,False,False,False,0.0,0.0
8,8,1,38.0,5.75,38.0,5.500000000000001,87.19780836169775,516.484271637164,-789.0597104674962,918.1807783780387,inf,inf,False,False,False,0.0,0.0
9,9,1,38.0,5.500000000000001,38.0,5.250000000000001,86.4532647337528,534.330571684055,-918.1807783780532,1051.7634212996345,inf,inf,False,False,False,0.0,0.0
10,10,1,38.0,5.250000000000001,38.0,5.0,85.12787578898133,550.9763751593418,-1051.76342129962,1189.5075150899356,inf,inf,False,False,False,0.0,0.0
11,11,1,38.0,5.0,38.0,4.6940676566476744,67.27986419575973,-479.88861629157327,-1189.5075150900084,1042.6940661601839,inf,inf,False,False,False,0.0,0.0
12,12,1,38.0,4.6940676566476744,38.0,4.325738990434273,49.03273850763162,-982.3685214478173,-1042.6940661601802,680.8595789254468,inf,inf,False,False,False,0.0,0.0
13,13,1,38.0,4.325738990434273,38.0,3.8822879077734695,29.4929040611687,-792.0152647091163,-680.8595789254423,329.63955230637293,inf,inf,False,False,False,0.0,0.0
14,14,1,38.0,3.8822879077734695,38.0,3.348392822595965,11.799651732750135,-429.34250729381165,-329.6395523063711,100.41569780444661,inf,inf,False,False,False,0.0,0.0
15,15,1,38.0,3.348392822595965,38.0,2.7056071603748864,-5.465253937348734,-148.77467081325813,-100.41569780444388,4.785472504037898,inf,inf,False,False,False,0.0,0.0
16,16,1,38.0,2.7056071603748864,38.0,1.931722405479972,-20.58567075915016,-19.44559406819826,-4.785472504035624,-10.26317629521418,inf,inf,False,False,False,0.0,0.0
17,17,1,38.0,1.931722405479972,38.0,1.0,-26.165522546271404,11.015272612145054,10.263176295214066,0.0,inf,inf,False,False,False,0.0,0.0
