node_id,head,u,v_x,v_y,v_mag,q,phi
1,8.90918550681676,87399.10982187242,2.399439042924835,0.09322088148476942,2.401249227684799,0.0,38.76552944111327
2,8.415255408981125,82553.65556210483,2.693872542486528,-0.150628519079943,2.6980804706166657,0.0,38.76552944111327
3,8.443930515826679,73024.95836025973,2.6258726482929475,-0.1405354708839514,2.6296306553639033,1.6697754290362354e-13,36.907234771716766
4,9.145102054364239,80795.04925426588,2.519363985628932,0.06543708154623269,2.5202136623162303,-3.552713678800501e-14,36.625063804584265
5,9.435902216754984,92566.20074636639,2.4894469567592026,0.0390662995944362,2.4897534669684984,1.0658141036401503e-14,38.765529441113266
6,8.25469438109554,80978.55187854725,3.2906009670461773,-0.3019365489391852,3.3044243680118544,1.0658141036401503e-14,38.76552944111327
7,8.376968966555324,72745.75129372196,2.971786298090558,-0.40196998316962257,2.9988487239085884,-1.7053025658242404e-13,35.60183862770466
8,8.447607030264916,62155.535969704826,3.054854321577048,-0.7000688080063329,3.1340439151360613,-2.1316282072803006e-13,32.6271529569959
9,8.490827886346963,63675.02156506371,2.766156156328944,-0.22928577441116188,2.7756426008302735,1.4921397450962104e-13,34.649452140635944
10,8.947284116916126,70890.63642079743,2.592040086664263,0.09574340691159564,2.593807743615845,1.0658141036401503e-14,34.82787747741822
11,9.479261954653971,74215.66066363793,2.6185398931866453,0.05985806617589603,2.619223961461915,2.1316282072803006e-14,33.99735983808126
12,9.716916739078679,86337.72688877824,2.554509089247468,0.03446367189279357,2.5547415586959596,2.1316282072803006e-14,36.45369893395055
13,9.980760798011815,97911.2634284959,2.5365049157392447,0.017263525924350466,2.536563663087661,2.1316282072803006e-14,38.765529441113245
14,8.054687020899546,79016.47967502454,4.0328146876074005,-0.2357414927537135,4.039699042749066,-9.947598300641403e-14,38.76552944111329
15,8.225900802991177,62603.04206180012,3.747833643781858,-0.4708421224128494,3.7772939157155134,-2.8421709430404007e-13,30.78647640451766
