slice #,x_l,y_lb,y_lt,x_r,y_rb,y_rt,x_c,y_cb,y_ct,y_cg,dx,alpha,dl,h1,h2,h3,w,qL,qR,d,d_x,d_y,kw,t,y_t,beta,p,n_eff,z,theta,piezo_y,hw,u,mat,phi,c,r,xo,yo
1,55.6,40.0,40.0,65.6,30.0,40.0,60.6,34.7,40.0,37.4,10.0,-44.7,14.1,0.0,0.0,5.3,6976.9,0.0,0.0,0.0,60.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.3,329.0,3.0,27.0,400.0,120.0,145.0,120.0
2,65.6,30.0,40.0,75.6,22.1,40.0,70.6,25.9,40.0,32.9,10.0,-38.3,12.8,0.0,0.0,14.1,18718.2,0.0,0.0,0.0,70.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.1,882.8,3.0,27.0,400.0,120.0,145.0,120.0
3,75.6,22.1,40.0,85.6,15.7,40.0,80.6,18.7,40.0,29.4,10.0,-32.4,11.9,0.0,0.0,21.3,28137.9,0.0,0.0,0.0,80.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,21.3,1327.0,3.0,27.0,400.0,120.0,145.0,120.0
4,85.6,15.7,40.0,95.7,10.6,40.0,90.6,13.0,40.0,26.5,10.0,-26.9,11.2,0.0,0.0,27.0,35700.2,0.0,0.0,0.0,90.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,1683.7,3.0,27.0,400.0,120.0,145.0,120.0
5,95.7,10.6,40.0,105.7,6.6,40.0,100.7,8.5,40.0,24.2,10.0,-21.7,10.8,0.0,0.0,31.5,41691.2,0.0,0.0,0.0,100.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.5,1966.2,3.0,27.0,400.0,120.0,145.0,120.0
6,105.7,6.6,40.0,115.7,3.6,40.0,110.7,5.0,40.0,22.5,10.0,-16.6,10.5,0.0,0.0,35.0,46296.4,0.0,0.0,0.0,110.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,2183.4,3.0,27.0,400.0,120.0,145.0,120.0
7,115.7,3.6,40.0,125.6,1.6,48.0,120.6,2.5,44.0,23.1,9.9,-11.7,10.1,0.0,4.0,37.5,53576.1,0.0,0.0,0.0,120.6,44.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,44.0,41.5,2589.6,2.0,32.0,100.0,120.0,145.0,120.0
8,125.6,1.6,48.0,135.4,0.4,56.0,130.5,0.9,52.0,26.0,9.9,-6.9,9.9,0.0,12.0,39.1,65158.8,0.0,0.0,0.0,130.5,52.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,52.0,51.1,3189.9,2.0,32.0,100.0,120.0,145.0,120.0
9,135.4,0.4,56.0,145.3,0.0,64.0,140.4,0.1,60.0,29.4,9.9,-2.2,9.9,0.0,20.0,39.9,75659.5,0.0,0.0,0.0,140.4,60.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,56.6,56.5,3523.4,2.0,32.0,100.0,120.0,145.0,120.0
10,145.3,0.0,64.0,157.7,0.7,74.0,151.5,0.2,69.0,34.0,12.3,3.1,12.4,5.0,24.0,39.8,108518.5,0.0,0.0,0.0,151.5,69.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,61.4,61.3,3823.1,1.0,28.0,200.0,120.0,145.0,120.0
11,157.7,0.7,74.0,170.0,2.6,84.0,163.8,1.5,79.0,39.8,12.3,9.0,12.5,15.0,24.0,38.5,122436.4,0.0,0.0,0.0,163.8,79.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,65.1,63.7,3972.5,1.0,28.0,200.0,120.0,145.0,120.0
12,170.0,2.6,84.0,179.9,5.2,84.0,175.0,3.8,84.0,43.6,9.9,14.5,10.3,20.0,24.0,36.2,101962.1,0.0,0.0,0.0,175.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,64.7,4036.5,1.0,28.0,200.0,120.0,145.0,120.0
13,179.9,5.2,84.0,189.9,8.7,84.0,184.9,6.8,84.0,45.1,9.9,19.4,10.5,20.0,24.0,33.2,97988.9,0.0,0.0,0.0,184.9,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1,64.2,4007.4,1.0,28.0,200.0,120.0,145.0,120.0
14,189.9,8.7,84.0,199.8,13.3,84.0,194.8,10.8,84.0,47.2,9.9,24.5,10.9,20.0,24.0,29.2,92723.7,0.0,0.0,0.0,194.8,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,62.3,3889.9,1.0,28.0,200.0,120.0,145.0,120.0
15,199.8,13.3,84.0,209.8,19.0,84.0,204.8,16.0,84.0,49.8,9.9,29.9,11.5,20.0,24.0,24.0,86017.2,0.0,0.0,0.0,204.8,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,59.4,3703.8,1.0,28.0,200.0,120.0,145.0,120.0
16,209.8,19.0,84.0,219.7,26.1,84.0,214.7,22.3,84.0,53.1,9.9,35.5,12.2,20.0,24.0,17.7,77643.2,0.0,0.0,0.0,214.7,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,54.2,3382.6,1.0,28.0,200.0,120.0,145.0,120.0
17,219.7,26.1,84.0,229.6,34.9,84.0,224.7,30.3,84.0,57.2,9.9,41.6,13.3,20.0,24.0,9.7,67246.5,0.0,0.0,0.0,224.7,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,47.1,2938.4,1.0,28.0,200.0,120.0,145.0,120.0
18,229.6,34.9,84.0,239.6,46.1,84.0,234.6,40.2,84.0,62.5,9.9,48.3,14.9,20.0,23.8,0.0,54248.5,0.0,0.0,0.0,234.6,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2,38.0,2369.5,1.0,28.0,200.0,120.0,145.0,120.0
19,239.6,46.1,84.0,249.5,61.0,84.0,244.5,53.0,84.0,68.8,9.9,56.1,17.8,20.0,11.0,0.0,38974.5,0.0,0.0,0.0,244.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,26.0,1620.7,1.0,28.0,200.0,120.0,145.0,120.0
20,249.5,61.0,84.0,259.5,84.0,84.0,254.5,70.9,84.0,77.4,9.9,65.8,24.3,13.1,0.0,0.0,16948.9,0.0,0.0,0.0,254.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1,8.2,514.4,1.0,28.0,200.0,120.0,145.0,120.0
