# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,0.0,25.0,0.0,1.3458150031707512e-05,1.3458150031707512e-05,0.0,-1.6938556943820153e-05,1.6938556943820153e-05
2,30.0,25.0,-0.01245073036699818,0.009166628880014653,0.015461169803595371,-0.004861888796704263,0.00816284245345357,0.009501050446736
3,50.0,35.0,-0.00784414068640485,-0.005955366673141167,0.009848702214996272,0.004864541909964375,-0.0011949514151267625,0.0050091592985563255
4,90.0,35.0,0.0,-0.00038864409574704837,0.00038864409574704837,0.0,0.0006263597179772763,0.0006263597179772763
5,90.0,31.186,0.0,-0.00023698547397088868,0.00023698547397088868,0.0,0.0003115462615618915,0.0003115462615618915
6,50.0,31.186,-0.007923201436774678,-0.005975982186855673,0.009924186823378763,0.005707740894825406,-0.0024821615493256046,0.006224100905304541
7,30.0,21.186,-0.0033002837620078893,0.0004937040484828426,0.003337007131736655,-0.000823451049636771,0.0006580782295159727,0.0010541055864147467
8,0.0,21.186,0.0,-6.759476261519913e-08,6.759476261519913e-08,0.0,8.347983929235882e-08,8.347983929235882e-08
9,90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.9999999999997424,25.0,-7.686572402485037e-06,1.3641450223861597e-05,1.565798708355382e-05,9.668669341832458e-06,-1.7168582296913828e-05,1.9703892633883128e-05
12,1.9999999999990365,25.0,-1.5579624685892398e-05,1.4204976758902487e-05,2.1083312597270563e-05,1.9596293499772432e-05,-1.787532715884247e-05,2.6524366909784567e-05
13,2.999999999999544,25.0,-2.3909542390862012e-05,1.5153933842133757e-05,2.830738292799591e-05,3.007213142380703e-05,-1.9063906421658553e-05,3.560569640414967e-05
14,3.9999999999997424,25.0,-3.289703991096839e-05,1.65223034878302e-05,3.681306490157826e-05,4.1373885117533613e-05,-2.0774562382220675e-05,4.629666091514212e-05
15,4.999999999998829,25.0,-4.279056214914801e-05,1.8339847186982312e-05,4.6555152280730015e-05,5.3815706811813016e-05,-2.3041069535440657e-05,5.8540765155505354e-05
16,5.999999999997919,25.0,-5.3815540366246065e-05,2.0667194784691107e-05,5.7647596005205826e-05,6.768405649031157e-05,-2.593558174242134e-05,7.248300423755562e-05
17,6.999999999997007,25.0,-6.634293428817487e-05,2.357384956466387e-05,7.040675616205089e-05,8.345619974271421e-05,-2.9542362599391365e-05,8.853072045030318e-05
18,7.999999999996049,25.0,-8.064872152911416e-05,2.712640453637579e-05,8.50885309977303e-05,0.00010149430770605726,-3.3945989522813367e-05,0.00010702067417753819
19,8.999999999992474,25.0,-9.71563935103377e-05,3.1417555345613436e-05,0.0001021098799520902,0.00012236129897958927,-3.927549377957431e-05,0.0001285101237241713
20,9.9999999999886,25.0,-0.00011628917970437925,3.655292648575145e-05,0.00012189868642028166,0.00014663308707756702,-4.570150277317577e-05,0.00015359000482330855
21,10.999999999984725,25.0,-0.00013855932657492066,4.261755142032168e-05,0.00014496531540323455,0.0001750138454810014,-5.341019350878253e-05,0.00018298222558678598
22,11.999999999980849,25.0,-0.0001644366771880531,4.973332096214303e-05,0.00017179296847825732,0.00020815622552580629,-6.270350579322647e-05,0.00021739536302302196
23,12.999999999976973,25.0,-0.00019480676111156223,5.800001527740299e-05,0.00020325765901179778,0.0002472198418575567,-7.397939673724484e-05,0.0002580515478536837
24,13.9999999999731,25.0,-0.00023048086284488737,6.744853451399425e-05,0.0002401473150918187,0.0002931676998507971,-8.767632907353604e-05,0.0003059974491978945
25,14.999999999969573,25.0,-0.0002725515256953383,7.816522131934441e-05,0.0002835385969894729,0.00034710397934207995,-0.00010443430962627756,0.0003624744094446176
26,15.999999999971276,25.0,-0.00032240359598998585,9.023209479642102e-05,0.00033479233808231685,0.00041012942851622735,-0.00012495227952335458,0.00042874143757412787
27,16.999999999973326,25.0,-0.0003821696559668193,0.00010393785843996225,0.00039605141630712876,0.0004834231274662631,-0.00014997083483075962,0.0005061513325766296
