# units: Imperial
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,-365.0,610.6,0.0,0.0011605994360629202,0.0011605994360629202,0.0,-0.11837607308993402,0.11837607308993402
2,-160.3,659.0,1.0541185822248489,-1.3439444112761298,1.7080259266158897,0.7871753241395474,-1.0111976038702772,1.2814700874414477
3,-122.7,659.0,0.9269870700130509,-1.3146800054309706,1.6086293994116103,0.6178276427296112,-0.9751282455012553,1.1543769277385894
4,22.8,611.0,1.3842677859025585,-0.15939017060321795,1.3934139835571102,0.779183750319159,-0.1498076356176065,0.7934542484924805
5,194.4,578.0,1.581712051596619,0.04851501314242593,1.5824559142883556,1.096412558063233,-0.004434845149310793,1.0964215272103428
6,267.6,578.0,1.5038596317759647,0.09540089977798048,1.5068825845976812,1.0963328218901502,0.07192141044080293,1.0986893763177172
7,346.683333,557.0,1.458233103740862,0.7917175704658623,1.6592951805601304,1.147181536982008,0.7368801063589906,1.3634580191337171
8,362.5,552.8,1.1373165844456592,0.8952122839139877,1.447374881129847,0.8670729061667704,0.8422196685150933,1.2087801266740625
9,594.0,552.8,0.0,0.0006458335713804535,0.0006458335713804535,0.0,-0.010544279838523483,0.010544279838523483
10,594.0,548.2,0.0,0.000587895148660502,0.000587895148660502,0.0,-0.009113157867066363,0.009113157867066363
11,-133.0,548.2,0.06544560897945786,0.003965862208216403,0.0655656602021718,-0.17968448788310287,0.10793514933748584,0.20961038058340126
12,-133.0,646.5,1.0173231926501263,-1.410862406903464,1.7393904706871548,0.7126698422511775,-1.0800288861282568,1.2939709034308928
13,-140.2,646.5,1.0067289062873215,-1.4403164250404255,1.7572747352066773,0.7172879029542953,-1.1095316483513893,1.3211973412090723
14,-140.2,548.2,0.057345746506565154,0.008139820663660549,0.05792056044991092,-0.1703277770376415,0.1121061039548096,0.20391010316929148
15,-365.0,548.2,0.0,0.0018905858811016987,0.0018905858811016987,0.0,-0.05615704419860293,0.05615704419860293
16,594.0,515.0,0.0,0.00021024399991122634,0.00021024399991122634,0.0,-0.00040113904293248494,0.00040113904293248494
17,-6.0,515.0,0.045509619777762356,0.010883113537996276,0.04679281624990546,-0.39316982718271887,0.01836539299143133,0.39359852726683153
18,-104.8,460.0,-0.0026478799631521922,0.0008345424860277881,0.0027762797878182767,-0.033987915368496754,-0.0024290959591050966,0.03407460782275621
19,-183.0,460.0,0.002381644286538861,0.00027029152015791,0.002396932834576821,0.0035258508684883087,-0.0025984610343350494,0.004379911425334688
20,-315.0,515.0,-0.0013997824261239578,-0.0003250627605997508,0.0014370304933487683,0.07354016578755992,-0.018974734919092247,0.07594864415716464
21,-365.0,515.0,0.0,0.0009978338694789923,0.0009978338694789923,0.0,-0.024163457473976604,0.024163457473976604
22,594.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-365.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-351.35333333339236,613.8266666666527,0.0020703371265716804,0.0007845593862383093,0.0022140075086132193,0.018868283987601063,-0.11407784325588043,0.11562770629286903
25,-337.7066666667072,617.0533333333237,0.0037429266136537985,0.0002603829438105054,0.003751972669493385,0.025222891907998986,-0.10015375009161165,0.10328101439091117
26,-324.06000000006276,620.2799999999852,0.005457504813078115,-0.00044854402245338154,0.005475906365602817,0.024628501670447667,-0.0797502875049122,0.0834665888343797
27,-310.4133333334178,623.5066666666467,0.007349757264658515,-0.001418594533105673,0.007485408626037587,0.01862552964790717,-0.0547819058264723,0.057861624248248936
28,-296.76666666674475,626.7333333333149,0.009511593984010266,-0.0027302789591852547,0.00989569822254246,0.007900219052234331,-0.026393450555231623,0.027550457224604145
29,-283.12000000012677,629.95999999997,0.012085192598800826,-0.004482912382374287,0.012889855840084287,-0.006839404005236666,0.004609420217420687,0.00824767857567291
30,-269.4733333335058,633.1866666666259,0.015229354200149675,-0.006839319176912537,0.01669459541759848,-0.025035996663458182,0.03747397818634702,0.04506772869852109
31,-255.82666666686004,636.4133333332876,0.019265785696486848,-0.010051439625535341,0.021730207938460675,-0.045793690846429175,0.07144793284998956,0.08486382757026074
32,-242.1800000001652,639.639999999961,0.024707523691667246,-0.014622716548272394,0.028710373843358738,-0.0680193395689702,0.10549311125149807,0.1255206241098244
33,-228.5333333334681,642.8666666666348,0.032276486895719395,-0.021437340573591618,0.03874701507468289,-0.09028777099808567,0.1381206841646471,0.1650127418895673
34,-214.88666666676647,646.0933333333097,0.04498189703406688,-0.0332938461778122,0.05596294536651207,-0.10879735459692583,0.1658120509647984,0.198319188714663
35,-201.2400000000748,649.3199999999823,0.4004795239198169,-0.2735859071547992,0.48500834804439974,0.21511408596211495,-0.03578808492271604,0.21807076145543153
36,-187.5933333333828,652.546666666655,0.9345917607071963,-0.7045570280685655,1.1704111948296576,0.7184647855102407,-0.4301862492686298,0.837407820048325
37,-173.94666666668644,655.7733333333287,1.041353946809794,-1.107918575953411,1.5204938715690273,0.7969649233021195,-0.8008080504669397,1.1297993727501419
38,-147.76666666667964,659.0,1.0088171611087633,-1.4340486627519233,1.7533418467851964,0.7283485714190012,-1.0909729273906081,1.3117597225815913
39,-135.23333333335,659.0,0.9568378781021147,-1.4202323671733976,1.7124831975052806,0.6600317156098537,-1.075124267370436,1.2615601673720138
40,-109.4727272727878,654.6363636363836,0.9597335465299797,-1.1885749294541397,1.5276775979446469,0.6289067468115752,-0.8710634065942503,1.074371981435061
41,-96.2454545455756,650.2727272727672,0.9927106712704594,-1.0709439734354749,1.4602723961960005,0.6331816064917037,-0.7826077772452611,1.0066746643301316
42,-83.01818181836339,645.9090909091508,1.02425287515626,-0.9559457197617385,1.4010446714493632,0.6328972440327969,-0.700646068754596,0.9441736255401226
43,-69.79090909115115,641.5454545455344,1.0563091043818202,-0.8397582209668051,1.3494379547356954,0.6318161279526191,-0.6194482707107113,0.884820761300011
44,-56.56363636391387,637.1818181819098,1.0921494201511164,-0.7224017988611192,1.3094482482840628,0.634561551060036,-0.5376506696120386,0.8317070425444238
45,-43.336363636643426,632.8181818182741,1.133403436858425,-0.6072093286595519,1.2858096746772725,0.6438095555087866,-0.4575030397673611,0.7898099614216049
46,-30.109090909314745,628.4545454546193,1.1789598833483912,-0.4985684470848275,1.2800456644094493,0.6593253984847925,-0.38250717285011476,0.7622478064047925
47,-16.88181818198605,624.0909090909645,1.2273703096321351,-0.3991822698225522,1.2906526881803517,0.6805506443458816,-0.3146658146701753,0.7497758027848324
48,-3.654545454657381,619.7272727273097,1.2772936218601363,-0.3089834756354757,1.3141346143604784,0.7067531935680146,-0.2532744306738898,0.7507649524663299
49,9.572727272671315,615.3636363636548,1.328091726527139,-0.22815697556884346,1.3475471196105013,0.7379375381143548,-0.19780417635874512,0.7639884176761035
50,37.09999999997754,608.2500000000043,1.4295830500502062,-0.0992425936979727,1.433023652768771,0.8170380750029315,-0.10533861915250885,0.823800607361668
51,51.39999999994928,605.5000000000098,1.4671579666665648,-0.05179321042783735,1.468071876918699,0.8513684260065914,-0.06967627973307758,0.8542148329070287
52,65.69999999991256,602.7500000000168,1.501049648097626,-0.01595603928770057,1.5011344514212435,0.8856543624686879,-0.0429653863781788,0.8866959310758362
53,79.99999999987585,600.0000000000239,1.5297695236792772,0.009564139238122896,1.5297994209494552,0.918115622560625,-0.024609661514927647,0.9184453885940979
54,94.29999999983913,597.2500000000309,1.5527572171307598,0.02666247712325679,1.5529861116693895,0.947941549208785,-0.01323439544889924,0.9480339286857034
55,108.59999999980509,594.5000000000375,1.5700112027919175,0.037282266870317,1.5704538020314742,0.9748764759945417,-0.007274499440651491,0.9749036166666161
56,122.89999999984063,591.7500000000307,1.5818509078678904,0.04324882260014536,1.582442022754315,0.9989933836518864,-0.005152751716521332,0.9990066723653538
