element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.7,0.9,79.47069217130002,99.99999999999977,,0.794706921713002,False,False
1,1,-48.7,0.9,-46.38535000000229,0.9,81.98665254331027,200.0,,0.40993326271655134,False,False
2,1,-46.38535000000229,0.9,-44.07070000000485,0.9,89.91834213210922,200.0,,0.4495917106605461,False,False
3,1,-44.07070000000485,0.9,-41.75605000000963,0.9,106.16357492887037,200.0,,0.5308178746443519,False,False
4,1,-41.75605000000963,0.9,-39.44140000001886,0.9,129.79697685740646,200.0,,0.6489848842870323,False,False
5,1,-39.44140000001886,0.9,-37.12675000002392,0.9,157.35006464346884,200.0,,0.7867503232173442,False,False
6,1,-37.12675000002392,0.9,-34.81210000002897,0.9,200.0,200.0,,1.0,True,False
7,1,-34.81210000002897,0.9,-32.4974500000393,0.9,200.0,200.0,,1.0,True,False
8,1,-32.4974500000393,0.9,-30.182800000048797,0.9,200.0,200.0,,1.0,True,False
9,1,-30.182800000048797,0.9,-27.868150000056215,0.9,200.0,200.0,,1.0,True,False
10,1,-27.868150000056215,0.9,-25.553500000062378,0.9,200.0,200.0,,1.0,True,False
11,1,-25.553500000062378,0.9,-23.238850000056903,0.9,200.0,200.0,,1.0,True,False
12,1,-23.238850000056903,0.9,-20.924200000050178,0.9,200.0,200.0,,1.0,True,False
13,1,-20.924200000050178,0.9,-18.609550000044425,0.9,200.0,200.0,,1.0,True,False
14,1,-18.609550000044425,0.9,-16.294900000037288,0.9,200.0,200.0,,1.0,True,False
15,1,-16.294900000037288,0.9,-13.980250000031532,0.9,200.0,200.0,,1.0,True,False
16,1,-13.980250000031532,0.9,-11.665600000025783,0.9,200.0,200.0,,1.0,True,False
17,1,-11.665600000025783,0.9,-9.350950000019758,0.9,199.1364895245926,200.0,,0.995682447622963,False,False
18,1,-9.350950000019758,0.9,-7.036300000011778,0.9,153.67699510388886,200.0,,0.7683849755194443,False,False
19,1,-7.036300000011778,0.9,-4.721650000005752,0.9,66.30238409793849,200.0,,0.3315119204896924,False,False
20,1,-4.721650000005752,0.9,-2.4069999999999965,0.9,23.306290606201177,200.0,,0.11653145303100589,False,False
21,1,-2.4069999999999965,0.9,-1.107,0.9,3.5424193365394014,99.99999999999973,,0.03542419336539411,False,False
