# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,6.05,6.3,6.3,6.3,3.6423459906520206,3.6423459906520206,,1.0,True,False
1,1,6.3,6.3,6.3966172635,6.3,4.464479011087329,8.692345990652004,,0.5136103666246784,False,False
2,1,6.3966172635,6.3,7.565341491357885,6.3,2.358039474377476,10.1,,0.23346925488885903,False,False
3,1,7.565341491357885,6.3,8.73406571921584,6.3,3.828605549143544,10.1,,0.37906985635084595,False,False
4,1,8.73406571921584,6.3,9.902789947074105,6.3,7.58442540010752,10.1,,0.7509332079314377,False,False
5,1,9.902789947074105,6.3,11.071514174938685,6.3,8.301043640743014,10.1,,0.8218855089844569,False,False
6,1,11.071514174938685,6.3,12.240238402800001,6.3,9.424502134452885,10.1,,0.933119023213157,False,False
7,1,12.240238402800001,6.3,12.3,6.3,5.050000000000118,5.050000000000118,,1.0,True,False
8,2,6.05,6.9,6.3,6.9,2.1854075946434106,2.1854075946434106,,1.0,True,False
9,2,6.3,6.9,6.6276954391,6.9,7.235407594643405,7.235407594643405,,1.0,True,False
10,2,6.6276954391,6.9,7.749318674856742,6.9,10.1,10.1,,1.0,True,False
11,2,7.749318674856742,6.9,8.870941910613134,6.9,4.9434623991848055,10.1,,0.4894517226915649,False,False
12,2,8.870941910613134,6.9,9.992565146372996,6.9,6.221691776389774,10.1,,0.6160090867712648,False,False
13,2,9.992565146372996,6.9,11.114188382138199,6.9,6.889470140935038,10.1,,0.6821257565282216,False,False
14,2,11.114188382138199,6.9,12.235811617900001,6.9,7.115030862075817,10.1,,0.7044585011956255,False,False
15,2,12.235811617900001,6.9,12.3,6.9,2.6510476574649737,5.049999999999947,,0.5249599321712874,False,False
16,3,6.05,7.5,6.3,7.5,0.7284691981724372,0.7284691981724372,,1.0,True,False
17,3,6.3,7.5,7.041543158698092,7.5,3.617703797253094,3.617703797253094,,1.0,True,False
18,3,7.041543158698092,7.5,7.7830863174000005,7.5,7.9392345990806605,7.9392345990806605,,1.0,True,False
