# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.00419208333796,0.9,38.62836503385007,200.0,,0.19314182516925038,False,False
1,1,-48.00419208333796,0.9,-46.008384166675455,0.9,39.633725522558905,200.0,,0.19816862761279452,False,False
2,1,-46.008384166675455,0.9,-44.01257625001388,0.9,41.736402078622646,200.0,,0.20868201039311324,False,False
3,1,-44.01257625001388,0.9,-42.01676833335092,0.9,45.21127231432289,200.0,,0.22605636157161446,False,False
4,1,-42.01676833335092,0.9,-40.020960416689796,0.9,50.78726599599208,200.0,,0.2539363299799604,False,False
5,1,-40.020960416689796,0.9,-38.025152500029144,0.9,60.42383172532931,200.0,,0.3021191586266465,False,False
6,1,-38.025152500029144,0.9,-36.02934458336849,0.9,78.29293217135077,200.0,,0.39146466085675385,False,False
7,1,-36.02934458336849,0.9,-34.03353666670552,0.9,109.60273610305158,200.0,,0.5480136805152579,False,False
8,1,-34.03353666670552,0.9,-32.0377287500458,0.9,151.17831064481206,200.0,,0.7558915532240603,False,False
9,1,-32.0377287500458,0.9,-30.04192083338515,0.9,185.8188776902559,200.0,,0.9290943884512796,False,False
10,1,-30.04192083338515,0.9,-28.046112916724724,0.9,200.0,200.0,,1.0,True,False
11,1,-28.046112916724724,0.9,-26.050305000063148,0.9,200.0,200.0,,1.0,True,False
12,1,-26.050305000063148,0.9,-24.054497083392317,0.9,200.0,200.0,,1.0,True,False
13,1,-24.054497083392317,0.9,-22.058689166719866,0.9,200.0,200.0,,1.0,True,False
14,1,-22.058689166719866,0.9,-20.06288125004788,0.9,200.0,200.0,,1.0,True,False
15,1,-20.06288125004788,0.9,-18.06707333337589,0.9,200.0,200.0,,1.0,True,False
16,1,-18.06707333337589,0.9,-16.071265416703213,0.9,200.0,200.0,,1.0,True,False
17,1,-16.071265416703213,0.9,-14.075457500031924,0.9,200.0,200.0,,1.0,True,False
18,1,-14.075457500031924,0.9,-12.079649583360627,0.9,200.0,200.0,,1.0,True,False
19,1,-12.079649583360627,0.9,-10.083841666688876,0.9,190.54862983864845,200.0,,0.9527431491932422,False,False
20,1,-10.083841666688876,0.9,-8.088033750018035,0.9,162.53634381582023,200.0,,0.8126817190791011,False,False
21,1,-8.088033750018035,0.9,-6.092225833345822,0.9,119.19014856718071,200.0,,0.5959507428359035,False,False
22,1,-6.092225833345822,0.9,-4.096417916672685,0.9,68.41160785333388,200.0,,0.3420580392666694,False,False
23,1,-4.096417916672685,0.9,-2.10061,0.9,20.371614101696508,200.0,,0.10185807050848254,False,False
24,1,-2.10061,0.9,-1.107,0.9,1.108348975590053,200.0,,0.005541744877950266,False,False
