# units: SI
joint_id,line_id,side,pair,node_a,node_b,x,y,weight,tn,ts,tlim,slip,open,slipping
0,1,1,0,4543,4546,6.3,6.3,0.0265408298790016,23.45708130090762,-12.090033967469136,12.090033967469136,0.0,False,True
0,1,1,1,4549,4550,6.459244979274009,6.3,0.0265408298790016,74.06931281856887,-17.891137314868246,38.17612670715965,0.0,False,False
0,1,1,2,4547,4548,6.379622489637004,6.3,0.1061633195160064,54.549275947641284,-15.6811973972458,28.115288114822377,0.0,False,False
1,1,0,0,4546,24,6.3,6.3,0.0265408298790016,17.03564002353414,8.780353527364687,8.780353527364687,0.0,False,True
1,1,0,1,4550,254,6.459244979274009,6.3,0.0265408298790016,74.06931281856887,-13.714555448103225,38.17612670715965,0.0,False,False
1,1,0,2,4548,1688,6.379622489637004,6.3,0.1061633195160064,54.549275947641306,-5.219392965542802,28.115288114822388,0.0,False,False
2,1,1,0,4549,4550,6.459244979274009,6.3,0.03217615343158201,74.06931281856887,-17.891137314868246,38.17612670715965,0.0,False,False
2,1,1,1,4553,4554,6.6523018998635015,6.3,0.03217615343158201,78.97446711744296,-27.12631425183139,40.70429640262685,0.0,False,False
2,1,1,2,4551,4552,6.555773439568755,6.3,0.12870461372632805,77.02228489633424,-23.91959071747149,39.69812052502607,0.0,False,False
3,1,0,0,4550,254,6.459244979274009,6.3,0.03217615343158201,74.06931281856887,-13.714555448103225,38.17612670715965,0.0,False,False
3,1,0,1,4554,255,6.6523018998635015,6.3,0.03217615343158201,78.97446711744291,-20.201408133295462,40.70429640262683,0.0,False,False
3,1,0,2,4552,1768,6.555773439568755,6.3,0.12870461372632805,77.02228489633428,-19.20301287100176,39.69812052502609,0.0,False,False
4,1,1,0,4553,4554,6.6523018998635015,6.3,0.039008014767603516,78.97446711744296,-27.12631425183139,40.70429640262685,0.0,False,False
4,1,1,1,4557,4558,6.886349988469123,6.3,0.039008014767603516,82.31027165918562,-27.992124940249415,42.42360622217146,0.0,False,False
4,1,1,2,4555,4556,6.769325944166312,6.3,0.15603205907041406,81.85552618851042,-27.97952230956767,42.189225477334155,0.0,False,False
5,1,0,0,4554,255,6.6523018998635015,6.3,0.039008014767603516,78.97446711744291,-20.201408133295462,40.70429640262683,0.0,False,False
5,1,0,1,4558,256,6.886349988469123,6.3,0.039008014767603516,82.31027165918562,-21.996708464740514,42.42360622217146,0.0,False,False
5,1,0,2,4556,2105,6.769325944166312,6.3,0.15603205907041406,81.85552618851038,-21.83481184589754,42.18922547733413,0.0,False,False
6,1,1,0,4557,4558,6.886349988469123,6.3,0.04729044316398667,82.31027165918562,-27.992124940249415,42.42360622217146,0.0,False,False
6,1,1,1,4561,4562,7.170092647453043,6.3,0.04729044316398667,92.57846063865102,-28.21225260089301,47.71594212507535,0.0,False,False
6,1,1,2,4559,4560,7.028221317961083,6.3,0.1891617726559467,89.91736103613518,-29.86764920325548,46.34438254472848,0.0,False,False
7,1,0,0,4558,256,6.886349988469123,6.3,0.04729044316398667,82.31027165918562,-21.996708464740514,42.42360622217146,0.0,False,False
7,1,0,1,4562,257,7.170092647453043,6.3,0.04729044316398667,92.57846063865102,-25.62012913050887,47.71594212507535,0.0,False,False
7,1,0,2,4560,1669,7.028221317961083,6.3,0.1891617726559467,89.91736103613518,-26.983037425440045,46.34438254472848,0.0,False,False
8,1,1,0,4561,4562,7.170092647453043,6.3,0.057331464500152876,92.57846063865102,-28.21225260089301,47.71594212507535,0.0,False,False
8,1,1,1,4565,4566,7.51408143445396,6.3,0.057331464500152876,107.16337350903902,-31.803887517466503,55.23316431284796,0.0,False,False
8,1,1,2,4563,4564,7.342087040953501,6.3,0.2293258580006115,102.3475361912044,-32.03927799899815,52.751029557567335,0.0,False,False
9,1,0,0,4562,257,7.170092647453043,6.3,0.057331464500152876,92.57846063865102,-25.62012913050887,47.71594212507535,0.0,False,False
9,1,0,1,4566,258,7.51408143445396,6.3,0.057331464500152876,107.16337350903902,-37.063496066012775,55.23316431284796,0.0,False,False
9,1,0,2,4564,1447,7.342087040953501,6.3,0.2293258580006115,102.34753619120443,-35.193049948027344,52.75102955756735,0.0,False,False
10,1,1,0,4565,4566,7.51408143445396,6.3,0.06950445956088958,107.16337350903902,-31.803887517466503,55.23316431284796,0.0,False,False
