# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.00386958333628,0.9,49.84286341937536,200.0,,0.2492143170968768,False,False
1,1,-48.00386958333628,0.9,-46.00773916667488,0.9,50.36271633587088,200.0,,0.2518135816793544,False,False
2,1,-46.00773916667488,0.9,-44.01160875000885,0.9,51.493063068270814,200.0,,0.2574653153413541,False,False
3,1,-44.01160875000885,0.9,-42.01547833334837,0.9,53.485632128220516,200.0,,0.2674281606411026,False,False
4,1,-42.01547833334837,0.9,-40.01934791668928,0.9,57.0291411428685,200.0,,0.2851457057143425,False,False
5,1,-40.01934791668928,0.9,-38.023217500030185,0.9,63.825103434654906,200.0,,0.31912551717327453,False,False
6,1,-38.023217500030185,0.9,-36.02708708336971,0.9,76.92803784417777,200.0,,0.38464018922088883,False,False
7,1,-36.02708708336971,0.9,-34.030956666709685,0.9,100.24734196615852,200.0,,0.5012367098307926,False,False
8,1,-34.030956666709685,0.9,-32.03482625004596,0.9,130.85199867135645,200.0,,0.6542599933567823,False,False
9,1,-32.03482625004596,0.9,-30.038695833385944,0.9,155.89928480771937,200.0,,0.7794964240385969,False,False
10,1,-30.038695833385944,0.9,-28.04256541672431,0.9,169.39064980936115,200.0,,0.8469532490468058,False,False
11,1,-28.04256541672431,0.9,-26.046435000063134,0.9,175.33813094558866,200.0,,0.8766906547279433,False,False
12,1,-26.046435000063134,0.9,-24.05030458339132,0.9,177.64300604865295,200.0,,0.8882150302432648,False,False
13,1,-24.05030458339132,0.9,-22.054174166721356,0.9,178.26226048183213,200.0,,0.8913113024091607,False,False
14,1,-22.054174166721356,0.9,-20.0580437500477,0.9,177.9797563687563,200.0,,0.8898987818437816,False,False
15,1,-20.0580437500477,0.9,-18.061913333376808,0.9,177.02026973665687,200.0,,0.8851013486832844,False,False
16,1,-18.061913333376808,0.9,-16.065782916706148,0.9,175.27249879761473,200.0,,0.8763624939880736,False,False
17,1,-16.065782916706148,0.9,-14.069652500035026,0.9,172.32412988882984,200.0,,0.8616206494441492,False,False
18,1,-14.069652500035026,0.9,-12.073522083362526,0.9,167.28339107757296,200.0,,0.8364169553878648,False,False
19,1,-12.073522083362526,0.9,-10.077391666692797,0.9,158.24405487221017,200.0,,0.7912202743610508,False,False
20,1,-10.077391666692797,0.9,-8.081261250018898,0.9,141.22920289042708,200.0,,0.7061460144521354,False,False
21,1,-8.081261250018898,0.9,-6.085130833346398,0.9,110.77165557114333,200.0,,0.5538582778557166,False,False
22,1,-6.085130833346398,0.9,-4.089000416672505,0.9,69.84209561033597,200.0,,0.3492104780516799,False,False
23,1,-4.089000416672505,0.9,-2.09287,0.9,28.59389540600954,200.0,,0.1429694770300477,False,False
24,1,-2.09287,0.9,-1.107,0.9,3.1854510648349397,200.0,,0.0159272553241747,False,False
