# units: SI
joint_id,line_id,side,pair,node_a,node_b,x,y,weight,tn,ts,tlim,slip,open,slipping
0,1,1,0,4543,4546,6.3,6.3,0.0265408298790016,106.27399986425922,-49.42124141331158,49.96048246710879,-0.006281523013540508,False,False
0,1,1,1,4549,4550,6.459244979274009,6.3,0.0265408298790016,61.42636698420745,-20.90332164608917,28.87715654489804,-0.002904358714092819,False,False
0,1,1,2,4547,4548,6.379622489637004,6.3,0.1061633195160064,30.54236770838603,-14.358276044449381,14.358276044449381,-0.06337177674882984,False,True
1,1,0,0,4546,24,6.3,6.3,0.0265408298790016,8.900800644395801,-4.184356428717794,4.184356428717794,-0.19696643126603625,False,True
1,1,0,1,4550,254,6.459244979274009,6.3,0.0265408298790016,61.42636698425186,-28.877156544918915,28.877156544918915,-0.020201701754288315,False,True
1,1,0,2,4548,1688,6.379622489637004,6.3,0.1061633195160064,30.542367708408236,-10.835486818994156,14.35827604445982,0.0,False,False
2,1,1,0,4549,4550,6.459244979274009,6.3,0.03217615343158201,61.42636698420745,-20.90332164608917,28.87715654489804,-0.002904358714092819,False,False
2,1,1,1,4553,4554,6.6523018998635015,6.3,0.03217615343158201,49.822682881606184,-3.494058889009588,23.422147258502996,-0.0006119945477523944,False,False
2,1,1,2,4551,4552,6.555773439568755,6.3,0.12870461372632805,64.81265567614969,-26.16391569095864,30.469085116688305,-0.0014248541342994816,False,False
3,1,0,0,4550,254,6.459244979274009,6.3,0.03217615343158201,61.42636698425186,-28.877156544918915,28.877156544918915,-0.020201701754288315,False,True
3,1,0,1,4554,255,6.6523018998635015,6.3,0.03217615343158201,49.822682881606184,-20.675717670151617,23.422147258502996,-0.0005573376116554121,False,False
3,1,0,2,4552,1768,6.555773439568755,6.3,0.12870461372632805,64.81265567614969,-15.499253741304065,30.469085116688305,-7.786357976012292e-05,False,False
4,1,1,0,4553,4554,6.6523018998635015,6.3,0.039008014767603516,49.822682881606184,-3.494058889009588,23.422147258502996,-0.0006119945477523944,False,False
4,1,1,1,4557,4558,6.886349988469123,6.3,0.039008014767603516,58.6127959548044,-12.356217427143156,27.554468340219575,-6.197984074883252e-06,False,False
4,1,1,2,4555,4556,6.769325944166312,6.3,0.15603205907041406,81.00265072692459,-29.624230245006796,38.08016557766607,-0.00018718201601741668,False,False
5,1,0,0,4554,255,6.6523018998635015,6.3,0.039008014767603516,49.822682881606184,-20.675717670151617,23.422147258502996,-0.0005573376116554121,False,False
5,1,0,1,4558,256,6.886349988469123,6.3,0.039008014767603516,58.6127959548266,-18.23609477498157,27.554468340230013,-0.0002511665613107449,False,False
5,1,0,2,4556,2105,6.769325944166312,6.3,0.15603205907041406,81.0026507269468,-22.613738459669232,38.08016557767652,-0.0002539536845213681,False,False
6,1,1,0,4557,4558,6.886349988469123,6.3,0.04729044316398667,58.6127959548044,-12.356217427143156,27.554468340219575,-6.197984074883252e-06,False,False
6,1,1,1,4561,4562,7.170092647453043,6.3,0.04729044316398667,88.5177945105342,-37.162177422479964,41.613110698000256,-1.5861720552219297e-05,False,False
6,1,1,2,4559,4560,7.028221317961083,6.3,0.1891617726559467,84.21161095804041,-25.270611411851153,39.58873024606178,-1.501674123929888e-05,False,False
7,1,0,0,4558,256,6.886349988469123,6.3,0.04729044316398667,58.6127959548266,-18.23609477498157,27.554468340230013,-0.0002511665613107449,False,False
7,1,0,1,4562,257,7.170092647453043,6.3,0.04729044316398667,88.5177945105342,-30.332113039391842,41.613110698000256,-2.7378181805726453e-05,False,False
7,1,0,2,4560,1669,7.028221317961083,6.3,0.1891617726559467,84.21161095804041,-25.69879530185745,39.58873024606178,-0.00014946063622308468,False,False
8,1,1,0,4561,4562,7.170092647453043,6.3,0.057331464500152876,88.5177945105342,-37.162177422479964,41.613110698000256,-1.5861720552219297e-05,False,False
8,1,1,1,4565,4566,7.51408143445396,6.3,0.057331464500152876,121.00074230871061,-50.48721877446427,56.88367307472119,0.0,False,False
