# units: SI
joint_id,line_id,side,pair,node_a,node_b,x,y,weight,tn,ts,tlim,slip,open,slipping
0,1,2,0,3387,9,17.0,8.2,0.15906314279606515,0.0,0.0,1.0118577075098814,0.0,True,False
0,1,2,1,3389,130,17.77142857142613,8.761904761902983,0.15906314279606515,5.16903330972964,-4.616827538277356,4.674171536422227,-1.8990007646892172e-05,False,False
0,1,2,2,3388,3375,17.385714285713064,8.480952380951491,0.6362525711842606,2.665697766611454,-2.8618752019311624,2.9005322834670064,-2.290750060639461e-05,False,False
1,1,2,0,3389,130,17.77142857142613,8.761904761902983,0.1590631427964402,5.169033309729132,-4.616827538277017,4.674171536421866,-1.899000764689221e-05,False,False
1,1,2,1,3391,131,18.542857142854082,9.323809523807292,0.1590631427964402,9.021172877754976,-7.31710136500624,7.403452461024646,-1.469627880374534e-05,False,False
1,1,2,2,3390,883,18.15714285714011,9.042857142855137,0.6362525711857608,6.074006001129874,-5.247417449702721,5.31535409492202,-1.6750336674524814e-05,False,False
2,1,2,0,3391,131,18.542857142854082,9.323809523807292,0.15906314279644418,9.021172877750995,-7.317101365003361,7.403452461021827,-1.4696278803745628e-05,False,False
2,1,2,1,3393,132,19.31428571428205,9.885714285711616,0.15906314279644418,14.07004844140939,-10.840099455725333,10.980633277875738,-1.140948537618842e-05,False,False
2,1,2,2,3392,3376,18.928571428568066,9.604761904759453,0.6362525711857767,11.883382744139356,-9.318108707832641,9.431357902295082,-1.2913827206001474e-05,False,False
3,1,2,0,3393,132,19.31428571428205,9.885714285711616,0.1590631427961539,14.070048441411508,-10.840099455726824,10.980633277877239,-1.140948537618827e-05,False,False
3,1,2,1,3395,133,20.08571428570861,10.447619047614914,0.1590631427961539,18.259616607454102,-13.812334160457699,13.948985871540685,-8.880514075856599e-06,False,False
3,1,2,2,3394,1189,19.69999999999533,10.166666666663264,0.6362525711846156,15.97237891563387,-12.196153122112896,12.328454192436276,-1.0099699136170893e-05,False,False
4,1,2,0,3395,133,20.08571428570861,10.447619047614914,0.15906314279628553,18.259616607455968,-13.81233416045902,13.948985871542007,-8.880514075856467e-06,False,False
4,1,2,1,3397,134,20.857142857135813,11.009523809518676,0.15906314279628553,22.954159721478987,-17.06346783236301,17.27511846475816,-6.740596400826082e-06,False,False
4,1,2,2,3396,2823,20.471428571422212,10.728571428566795,0.6362525711851421,20.54435226301458,-15.390143100371505,15.567744831947907,-7.761961383225277e-06,False,False
5,1,2,0,3397,134,20.857142857135813,11.009523809518676,0.15906314279622802,22.954159721476362,-17.063467832361166,17.275118464756304,-6.740596400826269e-06,False,False
5,1,2,1,3399,135,21.628571428562733,11.571428571422237,0.15906314279622802,27.6202682507007,-20.367367590703015,20.581104859082313,-4.974957937223193e-06,False,False
5,1,2,2,3398,1249,21.242857142849275,11.290476190470457,0.6362525711849121,25.306277774662114,-18.720706087934566,18.941618554280222,-5.803846910172604e-06,False,False
6,1,2,0,3399,135,21.628571428562733,11.571428571422237,0.15906314279630396,27.620268250702267,-20.36736759070414,20.581104859083425,-4.974957937223079e-06,False,False
6,1,2,1,3401,136,22.399999999990023,12.133333333326064,0.15906314279630396,31.913135318932813,-23.372864082845766,23.622645798676526,-3.6191123542393113e-06,False,False
6,1,2,2,3400,2755,22.014285714276376,11.852380952374151,0.6362525711852158,29.85025385967532,-21.93117138914911,22.1610728423899,-4.243024517409782e-06,False,False
7,1,2,0,3401,136,22.399999999990023,12.133333333326064,0.15906314279613037,31.9131353189326,-23.37286408284561,23.622645798676373,-3.619112354239327e-06,False,False
7,1,2,1,3403,137,23.17142857141647,12.695238095229278,0.15906314279613037,36.69532364542301,-26.680067766352053,27.010875935944547,-2.4956194157955068e-06,False,False
7,1,2,2,3402,1023,22.785714285703246,12.414285714277671,0.6362525711845215,34.548521571565196,-25.192655919042043,25.48984435190966,-3.001425035347275e-06,False,False
8,1,2,0,3403,137,23.17142857141647,12.695238095229278,0.1590631427960668,36.69532364542242,-26.680067766351605,27.010875935944128,-2.4956194157955517e-06,False,False
8,1,2,1,3405,138,23.94285714284261,13.25714285713227,0.1590631427960668,41.36594216047312,-29.952933832988954,30.320057702106684,-1.6164210367795447e-06,False,False
8,1,2,2,3404,1024,23.55714285712954,12.976190476180774,0.6362525711842671,39.22808677017623,-28.45610603478564,28.80536493637007,-2.010571300734615e-06,False,False
9,1,2,0,3405,138,23.94285714284261,13.25714285713227,0.15906314279605643,41.36594216047354,-29.952933832989252,30.320057702106983,-1.6164210367795146e-06,False,False
9,1,2,1,3407,139,24.714285714268698,13.819047619035222,0.15906314279605643,45.87658797004128,-33.1195310298771,33.51589714361553,-9.404951768196433e-07,False,False
9,1,2,2,3406,1025,24.328571428555655,13.538095238083745,0.6362525711842257,43.76883755340546,-31.63876517551426,32.02253406464074,-1.2425073461255251e-06,False,False
10,1,2,0,3407,139,24.714285714268698,13.819047619035222,0.15906314279651862,45.87658797004147,-33.11953102987726,33.51589714361567,-9.40495176819627e-07,False,False
10,1,2,1,3409,140,25.48571428569703,14.380952380939808,0.15906314279651862,50.155447238357674,-36.13566317366328,36.547513411366864,-4.1979421601066634e-07,False,False
10,1,2,2,3408,1026,25.099999999982863,14.099999999987515,0.6362525711860745,48.14739584360163,-34.717998522890255,35.12478812570481,-6.514166698803955e-07,False,False
11,1,2,0,3409,140,25.48571428569703,14.380952380939808,0.1590631427968528,50.15544723835719,-36.135663173662934,36.54751341136652,-4.1979421601070043e-07,False,False
11,1,2,1,3411,141,26.25714285712698,14.942857142845575,0.1590631427968528,54.43441339223021,-39.246810270288684,39.579205408645734,-1.0192503320529767e-08,False,False
11,1,2,2,3410,1027,25.871428571412004,14.661904761892693,0.6362525711874112,52.373680404595326,-37.72637243861626,38.11915466683579,-1.8973248549150625e-07,False,False
12,1,2,0,3411,141,26.25714285712698,14.942857142845575,0.15906314279700384,54.4344133922297,-39.24681027028832,39.57920540864537,-1.0192503320567425e-08,False,False
12,1,2,1,3413,142,27.02857142855766,15.504761904751877,0.15906314279700384,56.09820747235315,-39.770507020353875,40.75802080854407,0.0,False,False
12,1,2,2,3412,1028,26.64285714284232,15.223809523798726,0.6362525711880154,55.820072976280166,-39.52305778096116,40.560959627036816,0.0,False,False
13,1,2,0,3413,142,27.02857142855766,15.504761904751877,0.15906314279704886,56.098207472354545,-39.770507020353854,40.758020808545055,0.0,False,False
13,1,2,1,3415,143,27.799999999988565,16.066666666658335,0.15906314279704886,51.27755849364241,-36.88410146000456,37.342540899402614,-1.8779327425143536e-07,False,False
13,1,2,2,3414,1029,27.414285714273113,15.785714285705106,0.6362525711881954,53.32440286295514,-38.411172511164224,38.79275141076754,-1.0448830784643164e-07,False,False
14,1,2,0,3415,143,27.799999999988565,16.066666666658335,0.15906314279708142,51.27755849364131,-36.884101460003755,37.34254089940183,-1.8779327425151707e-07,False,False
14,1,2,1,3417,144,28.571428571419624,16.62857142856491,0.15906314279708142,44.588779140940396,-32.19437758764413,32.60347120220517,-4.5651226505643835e-07,False,False
14,1,2,2,3416,1030,28.185714285704094,16.347619047611623,0.6362525711883257,48.14089973746703,-34.69845226694886,35.120185566985356,-2.7467502832680213e-07,False,False
15,1,2,0,3417,144,28.571428571419624,16.62857142856491,0.1590631427970985,44.588779140942066,-32.19437758764533,32.60347120220635,-4.565122650563154e-07,False,False
15,1,2,1,3419,145,29.342857142850768,17.190476190471543,0.1590631427970985,35.83452668545602,-26.062312093577745,26.400992342345166,-1.7367827726342341e-06,False,False
15,1,2,2,3418,1031,28.957142857135196,16.909523809518227,0.636252571188394,40.41445821210893,-29.246834010725866,29.645921434591603,-9.973772459112456e-07,False,False
16,1,2,0,3419,145,29.342857142850768,17.190476190471543,0.1590631427970203,35.83452668545251,-26.062312093575255,26.40099234234268,-1.7367827726344868e-06,False,False
16,1,2,1,3421,146,30.11428571428153,17.752380952377905,0.1590631427970203,28.246102701346278,-20.5878496023226,21.024515072534573,-3.670512793496833e-06,False,False
16,1,2,2,3420,1032,29.72857142856615,17.471428571424724,0.6362525711880812,31.89267529502347,-23.256203088618648,23.608149659067205,-2.6587498762971427e-06,False,False
17,1,2,0,3421,146,30.11428571428153,17.752380952377905,0.15906314279697553,28.246102701350214,-20.587849602325416,21.024515072537362,-3.6705127934965497e-06,False,False
17,1,2,1,3423,147,30.885714285712076,18.314285714284104,0.15906314279697553,21.890071492589296,-15.642945353475543,16.5212008940375,-5.4942620105494424e-06,False,False
17,1,2,2,3422,1034,30.499999999996803,18.033333333331004,0.6362525711879021,25.11182230446282,-18.028404802249188,18.803844832397246,-4.605028394342252e-06,False,False
18,1,2,0,3423,147,30.885714285712076,18.314285714284104,0.15906314279698017,21.890071492587982,-15.642945353474552,16.521200894036568,-5.4942620105495415e-06,False,False
18,1,2,1,3425,148,31.657142857142645,18.87619047619032,0.15906314279698017,14.770184619706264,-10.594879508462803,11.476687037690374,-7.175165367479434e-06,False,False
18,1,2,2,3424,2775,31.27142857142736,18.595238095237214,0.6362525711879207,18.182486445924102,-13.004743344680255,13.89433835037539,-6.357420793317962e-06,False,False
19,1,2,0,3425,148,31.657142857142645,18.87619047619032,0.15906314279672412,14.770184619703892,-10.594879508461194,11.476687037688693,-7.175165367479595e-06,False,False
19,1,2,1,3427,149,32.42857142857197,19.438095238095634,0.15906314279672412,7.241704752016552,-5.269193634113802,6.142680797446138,-8.799185261526465e-06,False,False
19,1,2,2,3426,1106,32.04285714285731,19.15714285714298,0.6362525711868965,10.890577389586483,-7.8984590121989315,8.727944988984337,-7.995074352674197e-06,False,False
20,1,2,0,3427,149,32.42857142857197,19.438095238095634,0.1590631427964568,7.241704752021719,-5.26919363411758,6.142680797449799,-8.799185261526087e-06,False,False
20,1,2,1,3429,2,33.2,20.0,0.1590631427964568,0.0,0.0,1.0118577075098814,0.0,True,False
20,1,2,2,3428,1059,32.81428571428599,19.719047619047817,0.6362525711858272,3.594918750554459,-2.611128832619841,3.558895009279659,-9.580284574405378e-06,False,False
21,2,2,0,3430,8,19.3571,11.0095,0.15906364966942416,0.03914186077259971,-0.4389617367740237,1.0395901227231916,-4.620352263140467e-07,False,False
