# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,22.742993340481735,13.129690732358076,581.0368339801689,976.1538750164724,-498.2310258373174,930.1108657572323,9.098494453424737e-06,-1.6584113213934998e-05,-6.477003335885129e-05,3.4838030792161004e-05,0.0,False,535.9697044947845
2,1,72.01751745186829,58.64324104323819,149.25685673525695,1938.4677870515277,519.113577881733,1792.9465543213482,5.343346679006068e-05,-6.286524368049706e-05,6.748476512462558e-05,6.723017101912001e-05,0.0,False,1034.310323371075
3,1,66.6385445238452,47.47972508710277,829.764702163195,3230.46564315942,559.9398262295218,2325.8160682199436,5.3160913586680495e-05,-0.00010288464757807417,7.279217740983673e-05,8.609430621604476e-05,0.0,False,1324.5277879391535
4,1,78.01706950212282,71.53713843129232,-13.74274437041413,508.2704362369072,111.14179545936177,501.0406054848059,2.3337706843993178e-05,-1.0593149895482621e-05,1.4448433409716937e-05,1.8439497465155164e-05,0.0,False,283.68457638700346
5,1,39.240592334761324,35.18277468090579,22.864264385452696,1269.4159715869653,247.02944551331015,1161.4240682163845,4.184003937793496e-05,-3.9185821590163265e-05,3.211382791673019e-05,4.357891717644824e-05,0.0,False,670.4448796376663
6,1,95.56705491155132,67.11846294688353,-310.72844529189314,306.7882591818619,-307.13064029580863,800.8210016345422,3.7550719439803e-05,-2.5878663509910763e-06,-3.992698323845514e-05,2.830755225999245e-05,0.0,False,435.50080399988366
7,1,85.68454956500507,68.71500672973728,12.279116064752808,28.29561340177736,-73.42539483143439,262.06938379488,1.5387515424478224e-05,1.434644309757144e-05,-9.545301328086307e-06,4.800953265597816e-06,0.0,False,151.29178866632765
8,1,-44.28431350422486,-16.261724082911737,1169.5253323473873,465.1226911429024,-90.08573983328672,650.7550884826194,-3.35733894906269e-05,1.221278218766462e-05,-1.1711146178327269e-05,2.3630089196637268e-05,0.0,False,363.53983379441956
9,1,80.38326909529206,64.56376051504272,72.92878017262983,1640.2548708923405,379.9970349346856,1509.7873931998513,4.6888526480479576e-05,-5.498766941630152e-05,4.9399614541509144e-05,5.6610690702483484e-05,0.0,False,870.9337031151312
10,1,183.92673417981302,57.07881491176266,324.8052453819418,766.690480977727,99.24081672429406,445.3498007463459,2.407726022093159e-05,-4.645280092794448e-06,1.2901306174158218e-05,1.574347502199713e-05,0.0,False,242.2073080307252
11,1,88.25031473739084,70.2492314099397,109.52671854234859,1436.0309952372263,345.84410507767296,1299.2797627559567,3.6744948475459427e-05,-4.947782950970759e-05,4.495973366009753e-05,4.862032778135681e-05,0.0,False,748.0050427901049
12,1,79.04270973698118,76.42734410094225,-30.869844020089545,364.9253967673105,78.55368112826987,378.9424605043579,1.8528027805822826e-05,-7.198662845358497e-06,1.0211978546675101e-05,1.3839681333933714e-05,0.0,False,212.91817436820864
13,1,5.872220166089003,7.162349652364167,361.2989189557047,654.326906935241,-423.0083934802661,787.3322485623722,6.384266150922819e-07,-1.8408392603578205e-05,-5.499109115243456e-05,2.909811604075117e-05,0.0,False,447.6633237038628
14,1,13.032164794603801,14.930703019886208,104.77023241302788,793.6697114371955,-268.88925834032676,761.407065626307,1.6990103357176264e-05,-2.7788362779394415e-05,-3.4955603584242625e-05,2.8403367984636624e-05,0.0,False,436.9748920713332
15,1,58.99752253579464,38.89867437788593,341.5703837589872,1366.3174402757038,282.9756053160027,1030.9836826133107,4.5485819862454676e-05,-2.1122738811131948e-05,3.678682869108033e-05,3.8045928999432786e-05,0.0,False,585.321984606658
16,1,64.06039011117116,52.32515937731418,136.40410687348026,1890.9181290786773,487.4790462837529,1738.4949103727602,5.52806019956159e-05,-5.876280944772192e-05,6.337227601688786e-05,6.5234088215432e-05,0.0,False,1003.6013571604922
17,1,142.10428188207356,74.34707511107075,-97.70385551739957,522.064678641676,80.4990656791052,565.3970086003397,2.7306852036748365e-05,-1.2978102683591529e-05,1.046487853828372e-05,2.081100225626379e-05,0.0,False,320.1692654809815
18,1,23.670592187961983,22.356494534811322,-5.968784380292334,825.885457059332,82.65929836257072,734.6417157280993,2.79876014017944e-05,-2.608292429178105e-05,1.0745708787134067e-05,2.7563980146730865e-05,0.0,False,424.06123302662985
19,1,15.016331002154482,16.270544861664153,206.45658080256462,746.8259450870518,-155.05422067709256,547.5942855444479,1.1487101376942126e-05,-2.3636907301549973e-05,-2.0157048688022178e-05,2.0248472766224155e-05,0.0,False,311.51496563421426
20,1,104.38608271983229,81.05194264876677,95.84216081732104,942.7029945085956,271.5327188484937,873.985716320761,2.302855427507378e-05,-3.201739991485868e-05,3.529925345030396e-05,3.2695926224947886e-05,0.0,False,503.01424961458616
21,1,42.726202769155385,27.110608301722852,401.44863182643735,1266.6420833648574,142.29609264181465,792.8643104335603,3.334694505981609e-05,-2.2890629290181375e-05,1.849849204343574e-05,2.9600924718041107e-05,0.0,False,455.3988418160162
22,1,181.3791606801972,52.69920230970545,430.9853169077421,892.3756576817908,86.34375644068143,451.2273071047767,2.454367610357412e-05,-5.4466960467390466e-06,1.1224688337288592e-05,1.6011059068527775e-05,0.0,False,246.32398566965804
23,1,-47.70895456634786,-11.87691863225074,1078.1422135309567,333.9775500337807,-47.62432179561111,670.0170859315335,-3.4822911379036854e-05,1.3547791748279613e-05,-6.191161833429455e-06,2.438265472563794e-05,0.0,False,375.11776500981415
24,1,69.33389280306274,56.52451811439543,32.9443974421412,24.803377806332986,-79.10385739217207,369.5311209441075,2.2038211844824934e-05,2.2567378121152132e-05,-1.0283501460982259e-05,5.148553662098373e-06,0.0,False,211.1642203468213
25,1,-53.98875244132618,-28.433133958973276,1246.5732780602793,870.5340608092293,-82.64429475887366,381.95604696083836,-2.1262132892630115e-05,3.1804162286881364e-06,-1.0743758318653577e-05,1.3349780432255183e-05,0.0,False,205.38123741931057
26,1,103.97198246965054,72.79272446190977,-345.85857541721924,354.1742627663648,-190.7212158584372,723.734506669108,3.6862716747134436e-05,-8.639417734798477e-06,-2.4793758061596735e-05,2.5909335582126095e-05,0.0,False,398.6051628019406
27,1,30.225908338656538,19.466719487310847,380.8784705059907,869.7807371306566,-554.2621578328558,1050.832431405552,1.9657143486315025e-05,-1.2121503844288615e-05,-7.205408051827126e-05,3.937535061906243e-05,0.0,False,605.7746249086515
28,1,39.129554305974345,25.743467008257728,89.54897319802517,1040.0571380122058,-604.5835237118596,1340.0317419073212,4.04272677661994e-05,-2.135576294672222e-05,-7.859585808254194e-05,4.998612755506494e-05,0.0,False,769.0173470009985
29,1,82.99897503892969,55.18145215782592,-59.56776687983271,1528.7771324971661,236.83375308743555,1437.8714061258268,5.708811545195475e-05,-4.615430300755022e-05,3.078838790136648e-05,5.386771249768395e-05,0.0,False,828.7340384259069
30,1,76.1456865978216,50.53014227155983,408.48567459966563,1232.4339845600273,503.31060113749686,1128.8329403993678,3.143433979352318e-05,-2.2122300353900242e-05,6.543037814787459e-05,4.227720452103731e-05,0.0,False,650.4185310928822
31,1,77.49935347704138,62.481755862111164,29.45140536787858,-0.5259630578721044,-83.07648923344885,314.7444893020644,1.7142554648430204e-05,1.909108359610421e-05,-1.0799943600348658e-05,5.4871565229778955e-06,0.0,False,181.5690434249622
