# units: Imperial
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
pile_index,element_id,line_id,x_start,y_start,x_end,y_end,axial_force,shear_force,moment_1,moment_2,v_cap,m_cap,yielded_shear,yielded_moment,yielded,plastic_rotation_1,plastic_rotation_2
0,0,1,5.0,5.0,5.0,3.1249999999967284,-37.75611606851649,-71.38639652729034,2.9802322387695312e-08,-133.84949386119843,7666.666666666667,10000.0,False,False,False,0.0,0.0
1,1,1,5.0,3.1249999999967284,5.0,1.2499999999988334,-213.95922353017804,-504.19790107011795,133.84949386119843,-1079.2205584645271,7666.666666666667,10000.0,False,False,False,0.0,0.0
2,2,1,5.0,1.2499999999988334,5.0,-0.6249999999942872,-379.932969428136,-1034.3907222151756,1079.2205585986376,-3018.7031632065773,7666.666666666667,10000.0,False,False,False,0.0,0.0
3,3,1,5.0,-0.6249999999942872,5.0,-2.4999999999867137,-286.4896572770615,-1101.2525443136692,3018.7031631991267,-5083.55168402195,7666.666666666667,10000.0,False,False,False,0.0,0.0
4,4,1,5.0,-2.4999999999867137,5.0,-4.374999999989905,-111.65476655503494,-729.2090265750885,5083.551683984697,-6450.818609058857,7666.666666666667,10000.0,False,False,False,0.0,0.0
5,5,1,5.0,-4.374999999989905,5.0,-6.249999999993269,148.50119286839004,6.105884537100792,6450.818609055132,-6439.3700758218765,7666.666666666667,10000.0,False,False,False,0.0,0.0
6,6,1,5.0,-6.249999999993269,5.0,-8.124999999996636,421.9392796945905,1104.6406383365393,6439.370075784624,-4368.168879032135,7666.666666666667,10000.0,False,False,False,0.0,0.0
7,7,1,5.0,-8.124999999996636,5.0,-10.0,662.1856640203764,2329.690068859607,4368.16887904983,1.862645149230957e-09,7666.666666666667,10000.0,False,False,False,0.0,0.0
8,8,2,10.0,10.0,10.0,7.9999999999975415,-141.68129561679416,32.078725039958954,-4.470348358154297e-08,64.15744930505753,7666.666666666667,10000.0,False,False,False,0.0,0.0
9,9,2,10.0,7.9999999999975415,10.0,6.0000000000017435,-369.52559802391534,-148.36330342292786,-64.15744943916798,-232.56915807724,7666.666666666667,10000.0,False,False,False,0.0,0.0
10,10,2,10.0,6.0000000000017435,10.0,4.000000000008165,-601.3196146191976,-643.2772600054741,232.56915804743767,-1519.123678803444,7666.666666666667,10000.0,False,False,False,0.0,0.0
11,11,2,10.0,4.000000000008165,10.0,2.0000000000145155,-782.2808542489402,-932.0081059932709,1519.1236786618829,-3383.1398911476135,7666.666666666667,10000.0,False,False,False,0.0,0.0
12,12,2,10.0,2.0000000000145155,10.0,1.233502189279534e-11,-883.6687651247457,-1062.020701378584,3383.1398910954595,-5507.1812943816185,7666.666666666667,10000.0,False,False,False,0.0,0.0
13,13,2,10.0,1.233502189279534e-11,10.0,-1.99999999999012,-905.326080594929,-959.8664196133614,5507.18129439652,-7426.914133965969,7666.666666666667,10000.0,False,False,False,0.0,0.0
14,14,2,10.0,-1.99999999999012,10.0,-3.99999999999258,-884.9588134471201,-534.6836552917957,7426.914133936167,-8496.281444728374,7666.666666666667,10000.0,False,False,False,0.0,0.0
15,15,2,10.0,-3.99999999999258,10.0,-5.999999999995039,-696.009941522922,202.3342892229557,8496.28144472465,-8091.612866386771,7666.666666666667,10000.0,False,False,False,0.0,0.0
16,16,2,10.0,-5.999999999995039,10.0,-7.999999999997517,-609.1842371135726,1230.6672430634499,8091.612866425887,-5630.278380334377,7666.666666666667,10000.0,False,False,False,0.0,0.0
17,17,2,10.0,-7.999999999997517,10.0,-10.0,-155.8842402566537,2815.1391901904717,5630.27838033624,1.862645149230957e-09,7666.666666666667,10000.0,False,False,False,0.0,0.0
