# units: Imperial
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp,theta
1,-30.0,0.0,0.0,-0.0019033345162597017,0.0019033345162597017,0.0,0.00029249423740053664,0.00029249423740053664,0.0
2,0.0,0.0,-0.06441000872865765,0.023967371951831205,0.06872469820016076,-0.06225512676177405,0.025865930008179418,0.06741473980749753,0.0
3,5.0,5.0,-0.11204889273976633,-2.613332734860845e-06,0.1120488927702419,-0.10832173446885698,0.00024076684524407949,0.10832200204490004,0.007794620350363423
4,10.0,10.0,-0.15001637190529932,-5.0726551475932765e-05,0.15001638048163973,-0.14816841914413423,0.0008553636290865457,0.14817088809415233,0.007739419567967126
5,20.0,20.0,-0.08385949999799226,-0.11796531512661647,0.1447350383039131,-0.08761604393777474,-0.10332656320509015,0.13547305938481483,0.0
6,80.0,20.0,0.0,-0.021503234783381668,0.021503234783381668,0.0,-0.0013136835495490204,0.0013136835495490204,0.0
7,80.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006948401380469137
9,5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944272424147858
10,-30.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-27.999999999994962,0.0,-0.0003670305377252387,-0.0018919647366629933,0.0019272368770857273,-0.00032845414130246295,0.00030334792534807424,0.0004471041117589047,0.0
12,-25.999999999989925,0.0,-0.0007423285534233539,-0.0018568115953074675,0.001999700222957399,-0.0006639576820816173,0.000336925084552564,0.0007445524267611693,0.0
13,-23.999999999984883,0.0,-0.0011324133649401205,-0.0017953292875676746,0.002122632158404574,-0.0010117750680849152,0.000395836005159661,0.0010864506115691565,0.0
14,-21.99999999998003,0.0,-0.0015458218434068873,-0.0017082163708868202,0.002303816038949205,-0.0013789981011645839,0.0004794650176382668,0.0014599734470716896,0.0
15,-19.999999999997474,0.0,-0.002012472495062204,-0.0015671864400400926,0.0025507094858543636,-0.001794206748694149,0.0006162748659990201,0.001897095824549129,0.0
16,-18.00000000001612,0.0,-0.002523892908627084,-0.001400879795232035,0.002886606938068886,-0.0022469878084232387,0.0007778894813637053,0.0023778280544267624,0.0
17,-16.000000000034255,0.0,-0.003085320087411109,-0.0011914123802557305,0.0033073650390619295,-0.002740248896831712,0.000982587851679224,0.0029110896418446147,0.0
18,-14.000000000035321,0.0,-0.0036895364962774174,-0.0009490034926567028,0.0038096308464781285,-0.003263738724026571,0.001220572902742599,0.0034845069478507407,0.0
19,-12.000000000030276,0.0,-0.004565660282955125,-0.0004639781146554844,0.004589175253815562,-0.004042163177353361,0.0017017237869422204,0.0043857664095795605,0.0
20,-10.000000000025231,0.0,-0.006814889831708288,0.0013501955645840702,0.006947355718612911,-0.006170407173747117,0.0035119324898956654,0.007099830596811071,0.0
21,-8.000000000020183,0.0,-0.011876209103401078,0.005906397698459195,0.013263856017013707,-0.011078326105308822,0.008061381056095893,0.013700918722010895,0.0
22,-6.000000000015138,0.0,-0.019526955663246484,0.013014684874006328,0.023466657619782224,-0.01853046415571464,0.01515330584476748,0.0239374346965436,0.0
23,-4.00000000001009,0.0,-0.028884013389757695,0.021861592792278544,0.036224514750581645,-0.02762691199074817,0.02396079510027749,0.03657001460188424,0.0
24,-2.0000000000050413,0.0,-0.036783400058075816,0.027506224652164894,0.04593050091657847,-0.03518031607327283,0.029526185053924507,0.04592875181032001,0.0
25,1.2499999999976845,1.2499999999976845,-0.08948384815702443,0.014320579029317954,0.09062250308132272,-0.08657505166876896,0.015943997531491415,0.08803096403387968,0.0
26,2.4999999999962084,2.4999999999962084,-0.09615580558344954,0.007974893940281757,0.09648594654539534,-0.09281561720316363,0.009168990883626368,0.09326740690417112,0.0
27,3.7499999999981055,3.7499999999981055,-0.10267175260161333,-0.0024639219337885443,0.10270131300807551,-0.09908874509297516,-0.0017514713063401,0.09910422319879987,0.0
