# units: Imperial
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
pile_index,element_id,line_id,x_start,y_start,x_end,y_end,axial_force,shear_force,moment_1,moment_2,v_cap,m_cap,yielded_shear,yielded_moment,yielded,plastic_rotation_1,plastic_rotation_2
0,0,1,5.0,5.0,5.0,3.1249999999967284,-72.24121199503271,-59.675464593176784,0.0,-111.89150142669678,7666.666666666667,10000.0,False,False,False,0.0,0.0
1,1,1,5.0,3.1249999999967284,5.0,1.2499999999988334,-229.11952148570754,-393.3757802781181,111.89150106906891,-849.4710946083069,7666.666666666667,10000.0,False,False,False,0.0,0.0
2,2,1,5.0,1.2499999999988334,5.0,-0.6249999999942872,-293.87473018088616,-780.6594809191805,849.4710944890976,-2313.2076263427734,7666.666666666667,10000.0,False,False,False,0.0,0.0
3,3,1,5.0,-0.6249999999942872,5.0,-2.4999999999867137,-162.2565365548819,-800.111152801637,2313.2076256275177,-3813.416040420532,7666.666666666667,10000.0,False,False,False,0.0,0.0
4,4,1,5.0,-2.4999999999867137,5.0,-4.374999999989905,-3.4237969778522137,-478.55619936585396,3813.4160403609276,-4710.708917140961,7666.666666666667,10000.0,False,False,False,0.0,0.0
5,5,1,5.0,-4.374999999989905,5.0,-6.249999999993269,221.37907000502665,95.97818773682141,4710.7089166641235,-4530.749816298485,7666.666666666667,10000.0,False,False,False,0.0,0.0
6,6,1,5.0,-6.249999999993269,5.0,-8.124999999996636,391.27653699926424,844.0032962622078,4530.74981623888,-2948.2436373233795,7666.666666666667,10000.0,False,False,False,0.0,0.0
7,7,1,5.0,-8.124999999996636,5.0,-10.0,526.3037120935569,1572.3966066559406,2948.243637084961,-4.842877388000488e-08,7666.666666666667,10000.0,False,False,False,0.0,0.0
8,8,2,10.0,10.0,10.0,7.9999999999975415,-270.200699323371,312.77232602523566,0.0,625.5446467399597,7666.666666666667,10000.0,False,False,False,0.0,0.0
9,9,2,10.0,7.9999999999975415,10.0,6.0000000000017435,-580.7178936637346,236.6993241346808,-625.544646024704,1098.943290233612,7666.666666666667,10000.0,False,False,False,0.0,0.0
10,10,2,10.0,6.0000000000017435,10.0,4.000000000008165,-1024.6269471425605,-123.2835730046196,-1098.9432898759842,852.3761396408081,7666.666666666667,10000.0,False,False,False,0.0,0.0
11,11,2,10.0,4.000000000008165,10.0,2.0000000000145155,-1433.7094804580388,-471.31896830679574,-852.3761394023895,-90.26180028915405,7666.666666666667,10000.0,False,False,False,0.0,0.0
12,12,2,10.0,2.0000000000145155,10.0,1.233502189279534e-11,-1743.0165661683109,-694.3518497558521,90.26180064678192,-1478.965503692627,7666.666666666667,10000.0,False,False,False,0.0,0.0
13,13,2,10.0,1.233502189279534e-11,10.0,-1.99999999999012,-1943.5370661446905,-728.9272142438665,1478.9655035734177,-2936.819934606552,7666.666666666667,10000.0,False,False,False,0.0,0.0
14,14,2,10.0,-1.99999999999012,10.0,-3.99999999999258,-2068.199256169299,-543.8500810859404,2936.8199345469475,-4024.5200986862183,7666.666666666667,10000.0,False,False,False,0.0,0.0
15,15,2,10.0,-3.99999999999258,10.0,-5.999999999995039,-2082.4691498557477,-127.2639661014194,4024.520098745823,-4279.048032641411,7666.666666666667,10000.0,False,False,False,0.0,0.0
16,16,2,10.0,-5.999999999995039,10.0,-7.999999999997517,-2080.034197653887,563.4024038913471,4279.048032552004,-3152.243225812912,7666.666666666667,10000.0,False,False,False,0.0,0.0
17,17,2,10.0,-7.999999999997517,10.0,-10.0,-1806.8093233440864,1576.1216133281387,3152.2432258725166,-9.313225746154785e-09,7666.666666666667,10000.0,False,False,False,0.0,0.0
