node_id,head,u,v_x,v_y,v_mag,q,phi
1,54.86214630949793,-570.2020702873291,-1.451449090180495e-05,-8.555934632028658e-06,1.6848574526235924e-05,-1.7412483425788935e-18,6.6317295942252015
2,60.33521568619617,-1476.6825411813588,-4.724994032831396e-06,-1.6091283945850186e-06,4.991479019344071e-06,2.3788924981068614e-19,6.6317295942252015
3,79.63436391991327,-272.415691397412,-3.5800747215727797e-06,2.5938327840196765e-06,4.420961832395715e-06,8.132236329109075e-20,6.6317295942252015
4,80.0,998.4,-0.08808523696105688,-0.0003326156921174585,0.08808586494826616,0.42337267702364706,5.8849976405877635
5,40.0,0.0,-0.19236658851403485,-0.01225872696445405,0.1927567917436816,-1.217554314150707,2.937952172883745
6,80.0,2496.0,-0.06055456245093306,-2.1588671995125514e-05,0.06055456629928672,0.2878578045518538,3.1981164633460906
7,40.0,0.0,-3.661862797559093e-07,5.568342230802719e-05,5.568462635526597e-05,-0.00013559668867270353,2.8643733612099824
8,80.0,4992.0,-0.0012497524046688967,-2.5161797968827817e-07,0.0012497524299985568,0.003095010665702869,2.867468371875688
9,45.90172906170636,2864.267893450477,-0.0018611484866164077,8.25292406000052e-05,0.0018629773924523502,2.5128311920237637e-16,2.8643733612099824
10,40.14179735940163,2504.8481552266617,-5.14599399255447e-06,5.220787868119133e-06,7.33061253479589e-06,-1.4780519175391982e-17,2.8643733612099824
11,55.848850406393495,-686.9174489258409,-8.497276829320313e-06,-6.837045944106023e-06,1.0906370191586222e-05,-4.971745049191755e-19,6.6317295942252015
12,56.831682521212215,-803.8744392470605,-8.35485557368879e-06,-6.461791214930293e-06,1.056211898070406e-05,-2.0881289919006632e-19,6.6317295942252015
13,57.755459921187004,-924.516443774687,-7.872929086535598e-06,-5.828091199974143e-06,9.795389703163132e-06,1.485856224664614e-18,6.6317295942252015
14,58.59495731114512,-1050.41752092779,-7.110917474817735e-06,-5.027646812207692e-06,8.70875305666491e-06,3.878630947954828e-19,6.6317295942252015
15,59.32226539029177,-1183.3192110750927,-6.180164403152519e-06,-4.158727464529202e-06,7.4491238527912136e-06,4.1997883367078113e-19,6.6317295942252015
16,59.9306674098533,-1323.64063934036,-5.01457115031212e-06,-2.9785450763491694e-06,5.832465567269686e-06,-2.6414461318526583e-19,6.6317295942252015
17,60.793789988443336,-1448.0675047211357,-5.6045382405603115e-06,-6.975173291074295e-07,5.647776492949064e-06,6.168078726172451e-19,6.6317295942252015
18,61.41030718200263,-1409.5968318430357,-6.5581785449547826e-06,-3.161034402589845e-07,6.565792199913792e-06,5.417151606555564e-19,6.6317295942252015
19,62.09299110987851,-1366.997354743581,-7.036516240796778e-06,-1.7436715970255352e-07,7.038676346684763e-06,2.6326017572297416e-18,6.6317295942252015
20,62.81115031763333,-1322.1842201796803,-7.302467815149383e-06,-9.631054040215682e-08,7.303102896131559e-06,-1.137133332211473e-18,6.6317295942252015
21,63.549268911109564,-1276.1256199467632,-7.445180012062281e-06,-4.7853262862348014e-08,7.445333796867557e-06,2.004110312178611e-19,6.6317295942252015
22,64.2974673419912,-1229.4380378597496,-7.506781215106279e-06,-1.3620955019134971e-08,7.506793572617282e-06,-1.216580436894894e-18,6.6317295942252015
23,65.04868634977106,-1182.561971774286,-7.506567369212892e-06,1.3275852732666524e-08,7.506579108808322e-06,-1.739650553972503e-19,6.6317295942252015
24,65.79713480163187,-1135.8587883781713,-7.456979623919602e-06,2.823830047854899e-08,7.45703309052374e-06,-1.0011650604241876e-18,6.6317295942252015
25,66.53968207906603,-1089.5238382662799,-7.388752950464588e-06,4.292174225187905e-08,7.388877616996853e-06,-1.5690348349625885e-18,6.6317295942252015
26,67.27325781592948,-1043.7487122860002,-7.2715240977635284e-06,7.537576470395777e-08,7.271914755431365e-06,-2.9998431490956947e-20,6.6317295942252015
27,67.99113957682347,-998.9528904062154,-7.078603431206594e-06,9.740785727844582e-08,7.0792736087079824e-06,-4.839600376851429e-19,6.6317295942252015
28,68.68877141025689,-955.42066399997,-6.883622794711854e-06,6.980305123503305e-08,6.8839767028831784e-06,-1.0862505021994423e-18,6.6317295942252015
29,69.37189425128295,-912.7937987199438,-6.804050465898927e-06,-1.711430555369956e-09,6.804050681137961e-06,-9.057912070599186e-20,6.6317295942252015
30,70.05544549839215,-870.1402009003301,-6.889522042854207e-06,-6.708692302359589e-08,6.889848665552444e-06,-9.998499210006125e-19,6.6317295942252015
31,70.75295680864714,-826.6154951404184,-7.0734303108177925e-06,-1.0308256646931257e-07,7.074181392748266e-06,-1.9945975804958658e-18,6.6317295942252015
32,71.47195151537444,-781.7502254406347,-7.31315708662351e-06,-1.2233458458804255e-07,7.314180222295455e-06,1.4427518798679959e-18,6.6317295942252015
33,72.21642204057598,-735.295264668059,-7.47956114223657e-06,1.4715086972228473e-07,7.481008505470051e-06,3.3819611613263703e-19,6.6317295942252015
34,72.92978549750431,-690.7813849557309,-6.682174058936685e-06,4.5197026593455723e-07,6.697441845601597e-06,-6.249951366370943e-19,6.6317295942252015
35,73.5488870177041,-652.1494500952639,-5.786461283202674e-06,2.0693356571426323e-07,5.790160246713622e-06,3.023041363090361e-19,6.6317295942252015
36,74.1249715337672,-616.2017762929271,-5.8447532681095745e-06,-1.0921989842230951e-07,5.845773665759643e-06,-5.164658259906982e-19,6.6317295942252015
37,74.72376158819792,-578.83727689645,-6.149747986978917e-06,-1.6105367554604224e-07,6.151856515699804e-06,1.0069902475380293e-18,6.6317295942252015
38,75.35616567601424,-539.3752618167113,-6.480519491004431e-06,-1.0942931408273711e-07,6.481443330622351e-06,-1.0205851916562647e-18,6.6317295942252015
39,76.01149919386808,-498.48245030263206,-6.613926277902686e-06,-7.625062152180563e-08,6.614365802313488e-06,1.749086713754839e-18,6.6317295942252015
