# units: Imperial
node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1130,3.595684626908332,16.939014391102724,8.88916488201721,-2.1443059217260445,9.144140210300662,0.16525665119471175,-0.12505599622047275,0.20724083322257109,-2.1316282072803006e-14,50.10647447654623
1131,3.45249748612667,71.99564891830184,10.7954956925862,-1.6446280958718273,10.92005168588401,0.1927767087961822,-0.09136822754843486,0.21333310211880058,-2.842170943040401e-14,42.128247700394155
1132,3.2596559339289346,68.2313160064359,11.885214899849215,-1.817197733872538,12.023333182590811,0.2122359803544503,-0.10095542965958544,0.23502363739582902,1.1368683772161603e-13,41.516309767575336
1133,3.1604496803815736,34.831767606760025,12.258730880032127,-2.6917300949285003,12.55077263330816,0.21890590857200232,-0.14954056082936115,0.2651078575615851,3.730349362740526e-14,45.841394361488355
1134,2.9023855930881624,42.96504466735486,14.820511002508189,-2.2444323574095155,14.98949708904382,0.26465198218764624,-0.1246906865227509,0.29255501872530776,-1.9539925233402755e-14,42.33378653154015
1135,6.8516367194337136,287.0242849170056,5.437013442796919,-0.3111424220532659,5.4459089951958966,0.09708952576423069,-0.01728569011407033,0.09861628210312375,-8.526512829121202e-14,31.88466573715396
1136,6.789822457154932,335.3594406459004,5.478979961346672,-0.1994245800754908,5.48260810016334,0.09783892788119057,-0.011079143337527266,0.09846422307637574,-8.526512829121202e-14,28.263314861718456
1137,7.0927089212353245,260.35171629542634,5.175190077623195,-0.46153613463879495,5.195729779646636,0.09241410852898561,-0.02564089636882194,0.09590528151151946,-7.460698725481052e-14,33.92254695142746
1138,6.5576668486680845,-112.35719468040406,0.0558365674540405,-0.03592522726212993,0.06639536293210015,0.09970815616792945,-0.19958459590072186,0.223104745192169,1.9984014443252818e-15,56.43233840932919
1139,6.253445037866838,-83.32895845685812,0.28804769596149243,-0.055061781946977896,0.29326314971353107,0.108034422334979,-0.12470607503997717,0.16499406523002283,1.0547118733938987e-14,56.44453247321142
1140,6.054180632402758,-48.38611229642354,1.942870953415764,-0.23227366395294524,1.9567060577901847,0.10728309095234188,-0.05765128263942384,0.12179216721226038,8.593126210598712e-14,56.38577769786481
1141,6.0795006410366526,-99.4155210630052,0.05296610827998562,-0.024970532201877563,0.05855711831000708,0.09458233621426,-0.1387251788993198,0.1679002489110591,1.3322676295501878e-15,56.51200343586131
1142,5.998706390012854,-105.7014621426255,0.055842566121391705,-0.025897012936981864,0.06155523917653323,0.09971886807391374,-0.14387229409434368,0.17505167710682448,-6.106226635438361e-16,56.53505530988213
1143,6.081827038178137,-149.17365852111493,0.059800807073796536,-0.03041427486896857,0.06709071949593778,0.10678715548892238,-0.16896819371649205,0.19988433421663956,1.2212453270876722e-15,56.58485717111389
1144,17.528482495749774,202.5836224342766,2.103871170438764,-0.7597984316424258,2.236865565591653,0.03756912804354936,-0.042211023980134765,0.05650849429425738,-1.7053025658242404e-13,49.07427262707126
